
System configuration: type=Shared mode=Uncapped smt=4 lcpu=12 mem=6144MB psize=48 ent=2.00 

%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
  4.6  33.4    0.2   61.8  1.17  58.4   10.8  3838    31   101   0.58 00:10:30    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  3.8  30.5    0.1   65.5  1.06  52.8    9.4   895     8   101   0.58 00:10:40    
  3.0  31.4    0.1   65.5  1.06  53.1   10.0  2424    17   101   0.58 00:10:50    
  3.1  31.2    0.1   65.6  1.05  52.7    9.8  1832    10   101   0.58 00:11:00    
  3.7  30.4    0.1   65.8  1.05  52.7    9.8  1481    24   101   0.58 00:11:10    
  2.9  31.6    0.1   65.5  1.08  54.1   10.0  2965    32   101   0.58 00:11:20    
  3.0  30.3    0.1   66.6  1.03  51.5    9.3  1291    11   101   0.58 00:11:30    
  3.0  30.7    0.1   66.3  1.04  52.1    9.2  1708    13   101   0.58 00:11:40    
  2.9  31.0    0.1   66.0  1.06  52.9    9.6  2235    16   101   0.58 00:11:50    
  3.3  30.1    0.0   66.5  1.03  51.3    9.3   563     7   101   0.58 00:12:00    
  3.4  32.0    0.1   64.6  1.11  55.3   10.0  3458    32   101   0.58 00:12:10    
  2.9  29.6    0.0   67.4  1.00  50.0    9.3   773    14   101   0.58 00:12:20    
  3.0  30.4    0.1   66.6  1.04  51.8    9.5  2200    12   101   0.58 00:12:30    
  3.0  30.0    0.0   67.0  1.02  51.2    9.4  1795    11   101   0.58 00:12:40    
  2.8  29.9    0.0   67.3  1.01  50.5    9.2  1060     7   101   0.58 00:12:50    
  3.2  31.4    0.0   65.4  1.08  53.9   10.2  2907    14   101   0.58 00:13:00    
  3.4  30.1    0.1   66.4  1.04  51.8    9.3  1302    33   101   0.58 00:13:10    
  2.8  30.4    0.1   66.7  1.03  51.4    9.5  1406    25   101   0.58 00:13:20    
  3.2  31.5    0.1   65.2  1.08  54.2   10.0  2998    27   101   0.58 00:13:30    
  3.1  30.0    0.1   66.9  1.02  50.8    9.2   691    13   101   0.58 00:13:40    
  5.0  31.6    0.5   62.9  1.12  56.1   10.6  3492    27   101   0.58 00:13:50    
  3.7  30.1    0.0   66.2  1.04  52.0    9.3   639    12   101   0.58 00:14:00    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  3.3  30.7    0.0   65.9  1.05  52.7    9.7  1668    31   101   0.58 00:14:10    
  3.0  31.3    0.1   65.6  1.07  53.5    9.5  2563    29   101   0.58 00:14:20    
  3.1  30.5    0.0   66.4  1.03  51.7    9.5  1118    14   101   0.58 00:14:30    
  3.1  31.6    0.0   65.3  1.07  53.6    9.8  2604    17   101   0.58 00:14:40    
  2.9  30.3    0.0   66.8  1.02  51.1    9.1  1033     8   101   0.58 00:14:50    
  3.9  30.7    0.0   65.4  1.05  52.5   10.1   956    11   101   0.58 00:15:00    
  3.5  33.4    0.1   63.1  1.13  56.7   10.9  4494    34   101   0.58 00:15:10    
  3.2  30.9    0.1   65.8  1.05  52.5    9.7  1836    32   101   0.58 00:15:20    
  6.7  35.1    0.1   58.1  1.24  62.2   12.3  3948    45   101   0.58 00:15:30    
 17.0  49.3    0.0   33.7  2.13 106.4   17.4  2323    38   101   0.58 00:15:40    
