
System configuration: type=Shared mode=Uncapped smt=4 lcpu=12 mem=6144MB psize=48 ent=2.00 

%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
 45.5  27.1    0.2   27.2  2.02 101.0   22.8  4356    86   101   0.58 00:00:10    
 60.1  18.0    0.2   21.7  2.54 126.8   35.1  3094    89   101   0.58 00:00:20    
 44.7  22.4    0.1   32.9  2.31 115.5   21.5  3159    48   101   0.58 00:00:30    
 22.5   7.9    0.1   69.5  0.99  49.4    9.2  3889    17   101   0.58 00:00:40    
 18.7   2.8    0.1   78.3  0.70  34.8    7.1  1508     9   101   0.58 00:00:50    
  4.5   3.4    0.1   92.0  0.27  13.4    4.9  2216     5   101   0.57 00:01:00    
  8.5   4.5    1.1   85.8  0.39  19.5    6.4  1964    29   101   0.57 00:01:10    
  1.3   1.7    0.1   96.9  0.11   5.4    3.7   815     3   101   0.56 00:01:20    
  1.0   3.5    0.1   95.5  0.18   8.8    4.9  2956     4   101   0.55 00:01:30    
  1.0   1.1    0.1   97.8  0.07   3.7    4.1   597     1   101   0.57 00:01:40    
  1.2   2.8    0.1   95.9  0.15   7.7    4.9  2340     2   101   0.55 00:01:50    
  1.0   1.6    0.0   97.3  0.10   5.1    4.1  1206     0   101   0.56 00:02:00    
  2.8   2.2    0.0   95.0  0.17   8.4    4.8  1065     3   101   0.57 00:02:10    
  0.9   3.2    0.0   95.9  0.16   8.1    4.9  2731     7   101   0.55 00:02:20    
  1.0   1.4    0.0   97.5  0.09   4.3    4.1   773     1   101   0.56 00:02:30    
  1.0   2.0    0.0   97.0  0.11   5.6    4.4  1621     1   101   0.56 00:02:40    
  0.9   2.2    0.0   96.9  0.12   6.2    4.3  2034     2   101   0.55 00:02:50    
  1.1   0.9    0.0   98.0  0.07   3.4    3.9   415     0   101   0.57 00:03:00    
  1.5   4.1    0.1   94.3  0.22  10.8    5.1  3146     7   101   0.55 00:03:10    
  0.9   1.5    0.1   97.5  0.09   4.3    4.3   827     3   101   0.56 00:03:20    
  1.1   2.1    0.1   96.7  0.12   5.9    4.6  1621     4   101   0.56 00:03:30    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  1.0   2.8    0.1   96.2  0.15   7.6    4.7  2549     4   101   0.55 00:03:40    
  0.9   1.3    0.0   97.8  0.08   4.0    4.3   938     2   101   0.56 00:03:50    
  1.4   4.1    0.1   94.4  0.20  10.2    5.3  2986     9   101   0.56 00:04:00    
  1.2   1.8    0.1   96.9  0.11   5.6    4.3  1032     3   101   0.56 00:04:10    
  0.9   2.0    0.1   97.1  0.10   5.2    4.2  1279     4   101   0.56 00:04:20    
