
System configuration: type=Shared mode=Uncapped smt=4 lcpu=12 mem=6144MB psize=48 ent=2.00 

%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
 28.5  49.7    0.5   21.3  2.74 136.9   35.9  4392   179   101   0.58 00:00:10    
 42.2  41.2    0.4   16.3  2.88 143.8   48.3  3329   172   101   0.58 00:00:20    
 32.5  49.0    0.2   18.3  2.82 141.1   40.3  4181   150   101   0.58 00:00:30    
 32.0  44.1    0.2   23.6  2.57 128.7   30.1  3395    80   101   0.58 00:00:40    
 19.6  49.4    0.0   31.0  2.38 119.2   22.3  1607    40   101   0.58 00:00:50    
 23.1  47.6    0.1   29.2  2.50 125.0   25.3  3932    85   101   0.58 00:01:00    
 15.7  52.0    0.1   32.3  2.23 111.3   20.3  1314    78   101   0.58 00:01:10    
 14.9  55.0    0.5   29.6  2.18 109.2   22.4  4436   176   101   0.58 00:01:20    
  8.4  57.7    0.0   33.9  2.04 102.0   17.4  1709    86   101   0.58 00:01:30    
  8.6  57.4    0.1   34.0  2.09 104.4   17.9  1602    72   101   0.58 00:01:40    
  8.2  58.0    0.1   33.6  2.10 105.1   18.8  3349   104   101   0.58 00:01:50    
  9.0  57.0    0.0   34.0  2.10 105.0   17.9  1570    89   101   0.58 00:02:00    
  8.3  57.6    0.1   34.0  2.07 103.7   17.6  2477    93   101   0.58 00:02:10    
  8.4  57.6    0.1   33.9  2.08 104.1   18.0  2592   176   101   0.58 00:02:20    
  8.5  57.3    0.0   34.1  2.08 103.9   17.3  1244    91   101   0.58 00:02:30    
  7.9  58.2    0.1   33.9  2.13 106.6   19.0  3837    99   101   0.58 00:02:40    
  8.5  57.4    0.0   34.0  2.05 102.5   17.1   976    55   101   0.58 00:02:50    
  8.5  57.8    0.1   33.6  2.08 103.8   18.4  2895    63   101   0.58 00:03:00    
  8.9  57.2    0.0   33.9  2.05 102.7   17.6  1909    87   101   0.58 00:03:10    
  9.1  56.7    0.1   34.1  2.03 101.7   17.0  1715   115   101   0.58 00:03:20    
  7.9  58.2    0.1   33.8  2.09 104.3   18.4  3767   101   101   0.58 00:03:30    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
