
System configuration: type=Shared mode=Uncapped smt=4 lcpu=12 mem=6144MB psize=48 ent=2.00 

%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
 29.3  48.6    0.4   21.7  2.68 134.0   34.0  3470    86   101   0.58 00:00:10    
 43.0  41.5    0.4   15.1  2.86 142.9   52.1  5043   135   101   0.58 00:00:20    
 29.2  49.4    0.2   21.2  2.75 137.5   40.8  2767    44   101   0.58 00:00:30    
 25.6  47.4    0.2   26.8  2.54 127.2   29.2  4883    56   101   0.58 00:00:40    
 21.7  48.6    0.1   29.6  2.33 116.7   22.9  2141    32   101   0.58 00:00:50    
 24.7  47.6    0.1   27.6  2.27 113.6   23.7  1682    18   101   0.58 00:01:00    
 10.8  56.2    0.1   33.0  2.05 102.5   18.3  3089    88   101   0.58 00:01:10    
 20.3  49.9    0.6   29.3  2.15 107.5   21.4  2353   110   101   0.58 00:01:20    
 11.0  56.0    0.1   32.9  2.06 102.8   18.4  3069    55   101   0.58 00:01:30    
 14.5  51.7    0.0   33.7  2.05 102.5   17.4  1506    30   101   0.58 00:01:40    
 10.7  55.4    0.0   33.8  2.01 100.4   16.9  1042    34   101   0.58 00:01:50    
 10.1  56.4    0.1   33.3  2.08 104.2   19.0  3757    58   101   0.58 00:02:00    
 11.8  54.4    0.0   33.7  2.02 101.1   17.4  1346    50   101   0.58 00:02:10    
 12.2  54.4    0.1   33.3  2.03 101.5   18.2  3116    93   101   0.58 00:02:20    
  9.8  56.8    0.0   33.4  2.04 102.2   17.4  1596    44   101   0.58 00:02:30    
  9.8  56.5    0.0   33.6  2.03 101.7   17.2  1308    33   101   0.58 00:02:40    
  9.3  57.1    0.0   33.5  2.06 102.8   17.9  3071    49   101   0.58 00:02:50    
  9.8  56.4    0.0   33.8  2.01 100.5   16.8  1317    30   101   0.58 00:03:00    
 10.0  56.6    0.1   33.4  2.01 100.6   17.6  2405    64   101   0.58 00:03:10    
  9.3  57.1    0.1   33.5  2.06 102.8   17.8  2653    79   101   0.58 00:03:20    
 10.1  56.4    0.0   33.5  2.02 100.9   17.0   957    38   101   0.58 00:03:30    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  9.5  56.8    0.0   33.7  2.07 103.3   17.5  3283    44   101   0.58 00:03:40    
  9.7  56.4    0.0   33.9  2.00  99.8   17.1   918    29   101   0.58 00:03:50    
  9.7  56.8    0.1   33.5  2.02 101.0   17.6  2477    42   101   0.58 00:04:00    
  9.7  56.9    0.1   33.4  2.01 100.7   17.7  2574    72   101   0.58 00:04:10    
  9.5  57.0    0.1   33.5  2.01 100.6   17.0  1738    47   101   0.58 00:04:20    
  9.4  57.4    0.1   33.2  2.02 101.2   18.0  3221    65   101   0.58 00:04:30    
  9.3  57.3    0.1   33.3  2.00  99.9   17.4  2012    37   101   0.58 00:04:40    
  9.7  56.6    0.0   33.6  2.01 100.3   17.6  2037    34   101   0.58 00:04:50    
  9.5  56.9    0.0   33.5  1.99  99.6   17.4  2425    24   101   0.58 00:05:00    
  9.5  52.9    0.2   37.4  1.89  94.5   16.0  2049    25   101   0.58 00:05:10    
 11.3  52.9    0.2   35.5  1.86  93.1   18.7  4099    76   101   0.58 00:05:20    
 10.3  55.9    0.1   33.7  2.04 102.0   17.2  1130    41   101   0.58 00:05:30    
 10.3  56.3    0.0   33.3  2.04 101.9   17.9  2266    25   101   0.58 00:05:40    
 11.5  54.7    0.1   33.7  2.06 103.0   17.5  2306    25   101   0.58 00:05:50    
 11.3  55.1    0.0   33.5  2.03 101.5   17.6  1298    19   101   0.58 00:06:00    
  9.7  56.9    0.1   33.3  2.07 103.3   17.6  3079    58   101   0.58 00:06:10    
 10.6  55.9    0.0   33.5  2.01 100.4   17.1  1523    24   101   0.58 00:06:20    
 11.9  54.4    0.1   33.7  2.02 101.2   17.3  1817    23   101   0.58 00:06:30    
  9.4  57.4    0.1   33.1  2.04 102.0   18.5  3097    35   101   0.58 00:06:40    
 13.0  52.8    0.0   34.2  2.04 101.8   16.9   896    14   101   0.58 00:06:50    
  9.3  57.1    0.1   33.6  2.06 102.8   17.7  3506    32   101   0.58 00:07:00    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
 10.4  56.1    0.0   33.4  2.04 101.8   17.4  1038    28   101   0.58 00:07:10    
  9.6  56.8    0.0   33.5  2.03 101.3   17.5  1722    24   101   0.58 00:07:20    
  9.5  57.1    0.0   33.4  2.04 101.9   17.8  2874    31   101   0.58 00:07:30    
 10.0  56.2    0.0   33.8  2.03 101.4   17.0  1242    22   101   0.58 00:07:40    
  9.4  57.3    0.0   33.3  2.02 101.1   17.8  2967    30   101   0.58 00:07:50    
 10.5  56.0    0.0   33.4  2.05 102.7   17.6  1531    18   101   0.58 00:08:00    
 20.7  47.8    0.0   31.4  2.27 113.7   20.9  1253    54   101   0.58 00:08:10    
 10.7  60.7    0.1   28.6  2.44 121.8   25.0  4039    76   101   0.58 00:08:20    
 11.9  58.7    0.1   29.3  2.42 121.2   23.6  1609    27   101   0.58 00:08:30    
  9.5  62.1    0.1   28.2  2.44 122.2   25.9  3798    51   101   0.58 00:08:40    
 10.0  60.6    0.0   29.4  2.41 120.7   23.1  1657    22   101   0.58 00:08:50    
 10.3  60.3    0.1   29.3  2.37 118.7   23.2  1791    16   101   0.58 00:09:00    
 10.0  61.8    0.1   28.1  2.44 122.1   25.3  3524    77   101   0.58 00:09:10    
 10.1  61.3    0.1   28.6  2.40 120.0   23.8  1846    41   101   0.58 00:09:20    
  9.8  61.7    0.1   28.4  2.45 122.5   24.9  2999    41   101   0.58 00:09:30    
 10.0  61.1    0.1   28.8  2.44 121.8   24.2  2312    24   101   0.58 00:09:40    
  9.7  61.1    0.1   29.1  2.43 121.7   23.9  1540    51   101   0.58 00:09:50    
 10.2  61.8    0.1   27.8  2.46 122.9   25.7  3923    53   101   0.58 00:10:00    
 11.9  59.9    0.1   28.1  2.45 122.5   24.9  1728    36   101   0.58 00:10:10    
 10.6  60.6    0.1   28.6  2.44 122.1   24.8  2995    44   101   0.58 00:10:20    
 10.5  61.4    0.1   28.0  2.44 121.9   25.3  2666    33   101   0.58 00:10:30    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
 11.0  60.6    0.1   28.3  2.43 121.3   24.4  1883    17   101   0.58 00:10:40    
 10.0  61.7    0.1   28.2  2.44 122.0   25.4  3633    44   101   0.58 00:10:50    
 10.1  60.7    0.1   29.0  2.43 121.6   24.2  1729    26   101   0.58 00:11:00    
 10.4  61.0    0.1   28.5  2.44 122.2   24.8  2608    40   101   0.58 00:11:10    
  9.9  61.7    0.1   28.3  2.43 121.6   24.9  2836    38   101   0.58 00:11:20    
  9.9  61.4    0.1   28.7  2.42 120.9   24.0  1883    32   101   0.58 00:11:30    
 10.0  61.7    0.1   28.2  2.45 122.4   25.8  3584    51   101   0.58 00:11:40    
  9.8  61.1    0.1   29.0  2.42 121.1   23.7  1411    15   101   0.58 00:11:50    
 10.2  61.5    0.1   28.3  2.43 121.5   24.5  2442    34   101   0.58 00:12:00    
