
System configuration: type=Shared mode=Uncapped smt=4 lcpu=12 mem=6144MB psize=48 ent=2.00 

%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
 35.6  39.9    0.5   24.1  2.50 124.9   28.6  4039   117   101   0.58 00:00:10    
 47.7  33.8    0.5   18.0  2.73 136.4   45.9  5493   258   101   0.58 00:00:20    
 36.9  40.0    0.1   22.9  2.51 125.5   30.2  3004    79   101   0.58 00:00:30    
 24.8  37.0    0.2   37.9  1.83  91.3   17.7  5095    49   101   0.58 00:00:40    
 27.0  32.4    0.0   40.5  1.84  91.9   15.4  1885    22   101   0.58 00:00:50    
 14.6  28.8    0.2   56.5  1.31  65.7   12.5  1189    15   101   0.58 00:01:00    
 14.5  35.1    0.9   49.5  1.45  72.7   15.4  4753    69   101   0.58 00:01:10    
  4.7  29.9    0.1   65.3  1.07  53.7    9.6  1181    48   101   0.58 00:01:20    
  4.6  31.3    0.2   63.9  1.11  55.5   10.4  2744    54   101   0.58 00:01:30    
  4.5  31.1    0.1   64.3  1.10  55.1   10.1  1871    46   101   0.58 00:01:40    
  4.7  30.0    0.1   65.3  1.07  53.5   10.0  1090    30   101   0.58 00:01:50    
  4.6  31.4    0.1   63.9  1.12  56.1   10.5  3052    44   101   0.58 00:02:00    
  5.7  30.2    0.2   64.0  1.10  54.9   10.2  1273    38   101   0.58 00:02:10    
  4.5  30.8    0.2   64.5  1.09  54.7   10.3  2539    72   101   0.58 00:02:20    
  4.8  30.5    0.1   64.5  1.10  55.0   10.1  2102    36   101   0.58 00:02:30    
  4.7  30.0    0.1   65.2  1.07  53.6    9.3   957    18   101   0.58 00:02:40    
  4.6  31.4    0.2   63.8  1.12  56.0   10.3  3200    31   101   0.58 00:02:50    
  5.0  29.5    0.1   65.4  1.07  53.3    9.4   830    17   101   0.58 00:03:00    
  5.3  30.5    0.2   64.0  1.11  55.6   10.1  2414    56   101   0.58 00:03:10    
  4.7  30.3    0.1   64.9  1.09  54.5    9.7  1969    59   101   0.58 00:03:20    
  4.9  29.9    0.1   65.2  1.07  53.7    9.6  1083    33   101   0.58 00:03:30    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  4.5  32.1    0.2   63.2  1.14  57.0   10.7  3389    39   101   0.58 00:03:40    
  4.6  29.8    0.1   65.6  1.06  52.9    9.3  1018    14   101   0.58 00:03:50    
  4.9  30.6    0.2   64.3  1.10  54.9   10.3  2093    22   101   0.58 00:04:00    
  5.0  30.7    0.1   64.2  1.11  55.3   10.2  1950    38   101   0.58 00:04:10    
  7.0  27.4    0.2   65.4  1.06  53.2    9.7  1372    33   101   0.58 00:04:20    
  4.6  31.3    0.1   63.9  1.12  56.0   10.9  3130    28   101   0.58 00:04:30    
  4.7  30.1    0.1   65.1  1.07  53.6    9.6  1031    14   101   0.58 00:04:40    
  4.4  31.1    0.2   64.3  1.10  55.0   10.6  2641    25   101   0.58 00:04:50    
