
System configuration: type=Shared mode=Uncapped smt=4 lcpu=12 mem=6144MB psize=48 ent=2.00 

%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
 30.0  49.2    0.4   20.4  2.72 135.9   35.8  3972   195   101   0.58 00:00:10    
 37.1  43.8    0.3   18.7  2.81 140.5   43.4  2897   357   101   0.58 00:00:20    
 36.5  46.0    0.3   17.3  2.84 141.9   45.2  5174   436   101   0.58 00:00:30    
 33.1  43.5    0.2   23.1  2.63 131.5   30.6  2670   256   101   0.58 00:00:40    
 20.1  52.6    0.1   27.2  2.21 110.7   23.6  3427   211   101   0.58 00:00:50    
 22.6  49.9    0.2   27.3  2.31 115.5   23.8  3652   219   101   0.58 00:01:00    
 19.3  50.2    0.1   30.4  2.32 116.0   22.1  1834    98   101   0.58 00:01:10    
 14.6  54.8    0.5   30.1  2.17 108.7   21.4  3609   207   101   0.58 00:01:20    
  7.9  58.6    0.1   33.4  2.07 103.5   18.4  3603   235   101   0.58 00:01:30    
  9.1  56.9    0.0   34.0  2.06 103.2   17.1   983   176   101   0.58 00:01:40    
  8.4  58.0    0.1   33.6  2.07 103.3   17.9  2449   208   101   0.58 00:01:50    
  7.8  58.7    0.1   33.4  2.06 103.1   18.3  3109   219   101   0.58 00:02:00    
  9.0  57.6    0.1   33.4  2.09 104.3   18.0  1688   104   101   0.58 00:02:10    
  8.1  58.6    0.1   33.2  2.07 103.7   18.8  3787   271   101   0.58 00:02:20    
  8.5  57.5    0.0   34.0  2.06 103.2   17.5  1769   213   101   0.58 00:02:30    
  8.4  57.7    0.1   33.9  2.07 103.4   17.6  1910   199   101   0.58 00:02:40    
  8.2  58.2    0.1   33.5  2.08 103.9   18.1  3228   188   101   0.58 00:02:50    
  8.7  57.3    0.0   33.9  2.04 102.1   16.7  1021   157   101   0.58 00:03:00    
  8.3  58.4    0.1   33.2  2.10 105.2   18.5  3782   137   101   0.58 00:03:10    
  8.2  58.0    0.0   33.8  2.05 102.6   17.7  1389   238   101   0.58 00:03:20    
  8.5  57.6    0.0   33.9  2.05 102.7   17.2  1825   222   101   0.58 00:03:30    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  8.4  58.1    0.1   33.4  2.08 104.1   18.5  3315   222   101   0.58 00:03:40    
  8.5  57.5    0.0   34.0  2.04 102.2   17.2  1283   172   101   0.58 00:03:50    
  8.2  58.0    0.1   33.7  2.08 104.1   18.5  3553   205   101   0.58 00:04:00    
  9.2  57.6    0.1   33.1  2.04 102.2   17.5  1419   119   101   0.58 00:04:10    
  8.4  57.5    0.1   34.0  2.07 103.5   17.3  1953   148   101   0.58 00:04:20    
  8.2  57.9    0.1   33.8  2.09 104.7   17.7  3531   155   101   0.58 00:04:30    
  8.7  57.6    0.1   33.6  2.04 101.9   17.3  1353   112   101   0.58 00:04:40    
  8.3  57.9    0.1   33.8  2.08 104.0   18.2  3068   128   101   0.58 00:04:50    
  8.0  58.3    0.1   33.5  2.05 102.5   17.6  2710   138   101   0.58 00:05:00    
  9.1  57.4    0.1   33.4  2.08 104.0   18.2  1381    79   101   0.58 00:05:10    
 11.8  57.0    0.4   30.8  2.15 107.5   20.6  4317   238   101   0.58 00:05:20    
  8.5  57.8    0.1   33.6  2.03 101.7   17.2  1610   181   101   0.58 00:05:30    
  7.8  59.3    0.1   32.8  2.03 101.6   18.5  3518   197   101   0.58 00:05:40    
  8.3  58.0    0.1   33.6  2.05 102.3   17.4  1979   174   101   0.58 00:05:50    
  8.4  57.8    0.1   33.8  2.03 101.3   17.3  1500   176   101   0.58 00:06:00    
  8.3  58.7    0.1   32.9  2.06 103.0   18.7  3643   119   101   0.58 00:06:10    
  8.7  57.7    0.1   33.6  2.02 101.1   17.5  1675   214   101   0.58 00:06:20    
  9.4  57.1    0.1   33.4  2.05 102.7   18.0  3004   263   101   0.58 00:06:30    
  8.0  58.6    0.1   33.3  2.04 102.2   18.2  2831   206   101   0.58 00:06:40    
  8.5  57.7    0.0   33.8  2.03 101.7   17.0  1270   175   101   0.58 00:06:50    
  8.0  58.5    0.1   33.5  2.06 103.2   18.5  3761   190   101   0.58 00:07:00    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  8.8  57.9    0.1   33.3  2.04 102.1   17.4  1349    60   101   0.58 00:07:10    
  7.9  58.4    0.1   33.6  2.08 104.2   18.2  2916    70   101   0.58 00:07:20    
  8.2  58.1    0.1   33.6  2.04 102.1   17.5  2305    62   101   0.58 00:07:30    
  8.3  58.1    0.0   33.6  2.02 100.9   17.1  1519    53   101   0.58 00:07:40    
  8.0  58.5    0.1   33.4  2.07 103.4   18.6  3745    55   101   0.58 00:07:50    
  8.2  58.1    0.0   33.7  2.02 101.0   17.0  1553    37   101   0.58 00:08:00    
 17.8  50.6    0.1   31.5  2.32 115.8   21.6  3297   106   101   0.58 00:08:10    
 29.5  41.9    0.1   28.4  2.56 128.2   26.3  2954   137   101   0.58 00:08:20    
 18.6  52.3    0.1   29.0  2.49 124.4   24.3  1707    75   101   0.58 00:08:30    
 11.8  62.6    0.6   25.1  2.53 126.7   27.9  4958   116   101   0.58 00:08:40    
