
System configuration: type=Shared mode=Uncapped smt=4 lcpu=12 mem=6144MB psize=48 ent=2.00 

%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
 38.0  25.9    0.3   35.8  1.85  92.3   17.1  2537    48   101   0.58 00:00:10    
 48.2  24.5    0.2   27.1  2.19 109.5   23.2  3568    59   101   0.58 00:00:20    
 52.5  18.8    0.1   28.7  2.37 118.7   25.2  3518    55   101   0.58 00:00:30    
 33.2   6.9    0.2   59.7  1.28  63.8   11.8  2160    14   101   0.58 00:00:40    
 20.5   6.7    0.0   72.8  0.90  44.8    8.5  2757    12   101   0.58 00:00:50    
 14.6   1.9    0.0   83.5  0.53  26.5    6.1   633     4   101   0.58 00:01:00    
  4.4   2.9    0.2   92.4  0.25  12.3    5.5  1438    10   101   0.57 00:01:10    
  8.3   6.1    1.1   84.5  0.44  22.2    7.8  3392    34   101   0.57 00:01:20    
  1.4   2.0    0.1   96.5  0.12   6.1    3.5   959     5   101   0.56 00:01:30    
  1.0   3.0    0.0   96.0  0.16   7.9    4.7  2640     5   101   0.55 00:01:40    
  1.0   1.2    0.1   97.8  0.08   4.1    4.0   850     2   101   0.56 00:01:50    
  1.0   1.8    0.1   97.2  0.10   5.0    4.3  1217     2   101   0.56 00:02:00    
  1.6   4.2    0.1   94.1  0.21  10.7    5.4  2534     8   101   0.56 00:02:10    
  0.9   1.6    0.2   97.4  0.09   4.7    4.1  1249     3   101   0.56 00:02:20    
  1.0   3.6    0.1   95.3  0.18   8.8    5.3  2783     6   101   0.55 00:02:30    
  0.9   1.5    0.0   97.6  0.09   4.5    4.1   878     2   101   0.56 00:02:40    
  0.9   1.0    0.0   98.0  0.07   3.5    4.0   736     1   101   0.56 00:02:50    
  1.3   3.6    0.1   95.0  0.19   9.6    5.0  2909     3   101   0.55 00:03:00    
  1.3   1.5    0.0   97.2  0.10   4.9    4.0   519     2   101   0.57 00:03:10    
  0.9   3.2    0.2   95.7  0.16   8.0    4.8  2737    10   101   0.55 00:03:20    
  1.0   2.1    0.0   96.9  0.12   5.9    4.4  1421     5   101   0.56 00:03:30    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  1.0   1.6    0.0   97.3  0.10   4.8    4.1  1143     2   101   0.56 00:03:40    
  0.8   3.4    0.1   95.6  0.18   8.8    5.2  3239     7   101   0.55 00:03:50    
  1.3   1.4    0.0   97.3  0.09   4.5    4.3   622     1   101   0.57 00:04:00    
  1.4   3.1    0.1   95.3  0.17   8.7    4.8  2459     8   101   0.56 00:04:10    
  1.0   3.2    0.1   95.7  0.15   7.7    5.0  2140     9   101   0.56 00:04:20    
  1.0   1.3    0.1   97.7  0.08   4.0    4.2   564     2   101   0.57 00:04:30    
  1.0   4.1    0.2   94.6  0.21  10.4    5.5  3782     6   101   0.55 00:04:40    
  0.8   0.9    0.0   98.2  0.06   3.2    3.9   551     1   101   0.56 00:04:50    
  1.0   2.8    0.1   96.0  0.15   7.4    4.8  2362     5   101   0.55 00:05:00    
  5.2   4.2    0.1   90.5  0.32  16.1    6.0  1813     9   101   0.57 00:05:10    
  1.1   1.6    0.1   97.2  0.11   5.3    3.8  1157     5   101   0.56 00:05:20    
  0.9   4.1    0.2   94.8  0.20  10.1    5.4  3519     8   101   0.55 00:05:30    
  1.0   1.7    0.1   97.2  0.10   5.0    4.2  1001     2   101   0.56 00:05:40    
  0.9   2.2    0.2   96.7  0.12   6.1    4.6  1947     3   101   0.55 00:05:50    
  1.0   2.9    0.1   96.0  0.16   7.8    4.8  2551     5   101   0.55 00:06:00    
  1.7   1.6    0.0   96.7  0.11   5.6    4.2   500     2   101   0.57 00:06:10    
  1.0   3.8    0.2   95.1  0.19   9.5    5.4  3565     8   101   0.55 00:06:20    
  1.0   1.9    0.1   97.1  0.11   5.3    4.1  1079     2   101   0.56 00:06:30    
  1.0   2.3    0.1   96.6  0.12   6.1    4.3  1724     2   101   0.56 00:06:40    
  0.9   2.8    0.1   96.1  0.15   7.7    5.0  2679     4   101   0.55 00:06:50    
  1.4   1.6    0.0   96.9  0.10   5.2    4.4   794     2   101   0.57 00:07:00    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  1.2   3.6    0.1   95.0  0.19   9.5    4.9  3074     4   101   0.55 00:07:10    
  0.9   1.7    0.0   97.4  0.10   4.8    4.1  1165     2   101   0.56 00:07:20    
  1.0   2.0    0.1   96.9  0.11   5.4    4.4  1267     2   101   0.56 00:07:30    
  1.0   3.4    0.2   95.4  0.18   9.1    4.8  3128     5   101   0.55 00:07:40    
  0.9   1.3    0.0   97.8  0.08   4.1    4.2   926     1   101   0.56 00:07:50    
  1.0   3.8    0.2   94.9  0.19   9.7    5.6  3530     7   101   0.55 00:08:00    
  6.2   2.2    0.1   91.6  0.28  13.9    6.0   949     6   101   0.58 00:08:10    
 11.3  21.5    0.1   67.1  1.03  51.6    8.9  1868    35   101   0.58 00:08:20    
  6.3  27.7    0.1   65.8  1.08  54.2    9.6  3586    30   101   0.58 00:08:30    
  6.6  25.7    0.0   67.7  1.01  50.5    8.5  1833    14   101   0.58 00:08:40    
  6.5  28.4    0.1   65.1  1.10  55.2    9.6  3378    26   101   0.58 00:08:50    
  6.9  26.4    0.0   66.6  1.04  51.8    8.7   985    12   101   0.58 00:09:00    
  7.3  27.0    0.0   65.6  1.07  53.6    9.1  1540    28   101   0.58 00:09:10    
  6.5  28.1    0.0   65.3  1.10  54.8    9.6  3057    28   101   0.58 00:09:20    
  6.7  26.4    0.0   66.9  1.03  51.3    8.7  1026    13   101   0.58 00:09:30    
  6.6  28.1    0.1   65.2  1.10  54.8    9.6  3233    15   101   0.58 00:09:40    
  7.1  27.1    0.0   65.8  1.07  53.3    9.0  1354     6   101   0.58 00:09:50    
  6.9  26.7    0.0   66.4  1.04  52.2    8.7  1134    10   101   0.58 00:10:00    
  9.2  28.6    0.2   62.0  1.17  58.5   10.8  3251    28   101   0.58 00:10:10    
  8.2  23.1    0.6   68.1  0.98  48.8    8.1  1214    14   101   0.58 00:10:20    
  8.9  25.3    0.8   65.0  1.07  53.5    9.8  2796    18   101   0.58 00:10:30    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  9.4  22.9    0.8   66.9  1.02  50.8    8.7  1690     5   101   0.58 00:10:40    
  8.3  23.1    0.7   67.9  0.98  49.1    8.5  1087     7   101   0.58 00:10:50    
