
System configuration: type=Shared mode=Uncapped smt=4 lcpu=12 mem=6144MB psize=48 ent=2.00 

%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
 31.5  47.8    1.2   19.5  2.74 137.0   38.3  3792   176   101   0.58 00:00:10    
 43.7  39.2    1.2   15.9  2.81 140.3   49.8  3474   128   101   0.58 00:00:20    
 32.5  48.1    1.3   18.1  2.61 130.3   43.0  5309   143   101   0.58 00:00:30    
 28.4  48.4    1.3   21.9  2.36 117.9   29.3  2788    55   101   0.58 00:00:40    
 25.6  49.9    1.0   23.5  2.25 112.6   26.2  4019    63   101   0.58 00:00:50    
 29.6  45.9    0.6   23.9  2.24 112.1   25.4  2962    47   101   0.58 00:01:00    
 32.4  42.9    0.7   24.0  2.50 125.2   28.4  2653   109   101   0.58 00:01:10    
 16.8  53.5    0.3   29.5  2.15 107.6   21.9  3967   145   101   0.58 00:01:20    
 15.6  54.8    0.5   29.1  2.12 105.9   20.8  2641    82   101   0.58 00:01:30    
  7.9  53.4    0.2   38.5  1.83  91.5   16.2  2825    63   101   0.58 00:01:40    
  8.1  50.5    0.5   40.9  1.77  88.4   15.6  2218    50   101   0.58 00:01:50    
  8.8  56.5    0.1   34.7  1.97  98.5   16.7  1194    38   101   0.58 00:02:00    
  8.6  59.0    0.2   32.3  2.03 101.7   18.9  4253    97   101   0.58 00:02:10    
  8.3  56.4    0.1   35.2  1.96  98.2   16.7  1385   119   101   0.58 00:02:20    
  7.5  54.6    0.4   37.6  1.86  93.1   16.8  3776    79   101   0.58 00:02:30    
  8.5  56.5    0.1   35.0  1.96  97.9   16.7  2075    39   101   0.58 00:02:40    
  8.3  56.4    0.1   35.2  1.96  98.2   16.4  1476    38   101   0.58 00:02:50    
  8.4  58.3    0.1   33.3  2.04 102.1   18.0  3463    54   101   0.58 00:03:00    
  8.8  58.0    0.1   33.1  2.01 100.4   17.6  1456    63   101   0.58 00:03:10    
  8.0  58.4    0.1   33.5  2.04 101.8   17.5  2709    97   101   0.58 00:03:20    
  8.3  58.4    0.1   33.2  2.04 101.8   17.5  2815    77   101   0.58 00:03:30    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  8.4  57.8    0.0   33.7  1.99  99.7   17.0  1059    37   101   0.58 00:03:40    
  8.1  58.6    0.1   33.3  2.04 102.1   18.5  3781    56   101   0.58 00:03:50    
  8.7  57.3    0.1   34.0  1.99  99.7   17.0  1181    33   101   0.58 00:04:00    
  8.6  58.3    0.1   33.0  2.03 101.5   18.1  3066    91   101   0.58 00:04:10    
  8.2  58.0    0.1   33.7  2.03 101.3   17.1  2442    86   101   0.58 00:04:20    
  8.5  57.2    0.1   34.2  1.98  99.1   17.0  1671    53   101   0.58 00:04:30    
  8.2  58.0    0.1   33.6  2.03 101.4   17.5  3388    62   101   0.58 00:04:40    
  8.6  57.1    0.1   34.2  1.98  98.9   17.1  1796    41   101   0.58 00:04:50    
 12.6  54.8    0.7   31.9  2.13 106.3   18.7  2897    61   101   0.58 00:05:00    
  9.2  58.0    0.1   32.7  2.04 102.0   18.4  3090    73   101   0.58 00:05:10    
 11.6  56.1    0.4   32.0  2.10 105.2   19.1  1998    82   101   0.58 00:05:20    
  8.6  58.4    0.4   32.6  2.05 102.4   19.0  4244    91   101   0.58 00:05:30    
  8.6  57.3    0.1   34.0  1.99  99.4   17.0  1366    45   101   0.58 00:05:40    
  8.4  57.6    0.0   34.0  1.99  99.4   16.8  1975    49   101   0.58 00:05:50    
  8.3  58.1    0.1   33.5  2.03 101.7   17.8  3096    54   101   0.58 00:06:00    
  9.1  57.1    0.1   33.7  2.06 102.9   17.9  1566    72   101   0.58 00:06:10    
  7.8  58.5    0.1   33.6  2.03 101.6   17.6  3747    82   101   0.58 00:06:20    
  8.5  57.4    0.1   34.0  1.99  99.7   17.2  1883    62   101   0.58 00:06:30    
  8.3  58.4    0.1   33.2  2.02 100.9   17.8  1874    79   101   0.58 00:06:40    
  8.2  58.1    0.1   33.6  2.03 101.7   18.1  3315    96   101   0.58 00:06:50    
  8.8  57.6    0.1   33.6  2.01 100.6   17.2  1291    64   101   0.58 00:07:00    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  8.2  58.5    0.1   33.2  2.07 103.3   18.7  3745    86   101   0.58 00:07:10    
  8.7  57.4    0.0   33.9  2.00 100.1   17.0  1342    46   101   0.58 00:07:20    
  8.9  57.1    0.1   34.0  1.99  99.7   17.1  1714    45   101   0.58 00:07:30    
  8.4  58.4    0.1   33.1  2.03 101.6   18.0  3491    67   101   0.58 00:07:40    
  8.7  57.7    0.1   33.5  2.00  99.9   17.1  1506    55   101   0.58 00:07:50    
  8.8  58.2    0.1   32.9  2.05 102.3   18.6  3274    58   101   0.58 00:08:00    
  9.3  57.7    0.1   33.0  2.04 101.8   18.0  2386    70   101   0.58 00:08:10    
 24.5  47.8    0.1   27.5  2.20 109.8   22.9  1918    64   101   0.58 00:08:20    
 32.2  43.6    0.1   24.2  2.29 114.7   26.1  3137    60   101   0.58 00:08:30    
 15.9  57.4    0.1   26.6  2.33 116.3   24.2  1436    29   101   0.58 00:08:40    
  7.5  64.8    0.2   27.6  2.37 118.3   24.8  3464    58   101   0.58 00:08:50    
  7.9  64.8    0.2   27.1  2.39 119.6   24.7  2549    54   101   0.58 00:09:00    
  8.4  64.2    0.1   27.4  2.39 119.4   24.2  1574    75   101   0.58 00:09:10    
  7.4  65.7    0.1   26.8  2.40 119.9   25.4  3514    74   101   0.58 00:09:20    
  7.7  64.7    0.1   27.5  2.37 118.7   24.4  1447    24   101   0.58 00:09:30    
  7.5  65.3    0.2   27.1  2.41 120.6   25.6  3134    47   101   0.58 00:09:40    
  7.8  64.7    0.1   27.4  2.38 119.2   24.7  2042    33   101   0.58 00:09:50    
  9.2  63.7    0.1   27.0  2.35 117.5   24.6  1577    33   101   0.58 00:10:00    
  8.3  64.7    0.2   26.9  2.42 121.1   25.3  4053    80   101   0.58 00:10:10    
  7.9  63.6    0.1   28.4  2.30 115.1   22.8  1377    42   101   0.58 00:10:20    
  8.3  64.9    0.2   26.7  2.43 121.4   25.9  3056    56   101   0.58 00:10:30    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  8.1  64.9    0.2   26.8  2.41 120.3   24.7  2497    35   101   0.58 00:10:40    
  7.6  64.8    0.1   27.5  2.36 118.1   24.1  1450    27   101   0.58 00:10:50    
  7.8  65.2    0.1   26.8  2.42 121.0   26.0  3344    55   101   0.58 00:11:00    
  7.7  64.7    0.1   27.5  2.40 120.0   24.3  1751    49   101   0.58 00:11:10    
  7.3  65.2    0.2   27.3  2.38 119.0   24.7  2913    59   101   0.58 00:11:20    
  7.1  65.4    0.1   27.4  2.37 118.6   24.4  2293    44   101   0.58 00:11:30    
  7.5  64.3    0.4   27.8  2.33 116.6   23.1  1257    23   101   0.58 00:11:40    
  7.2  65.5    0.1   27.2  2.37 118.6   25.2  3420    43   101   0.58 00:11:50    
  7.5  65.1    0.1   27.4  2.35 117.5   24.0  1507    23   101   0.58 00:12:00    
  7.7  65.4    0.1   26.7  2.38 118.9   25.4  2976    72   101   0.58 00:12:10    
  7.5  65.2    0.1   27.2  2.39 119.5   24.9  2405    45   101   0.58 00:12:20    
  7.4  65.0    0.1   27.6  2.33 116.7   23.4  1493    25   101   0.58 00:12:30    
  6.9  66.0    0.1   27.0  2.39 119.3   25.1  3520    58   101   0.58 00:12:40    
  7.4  64.9    0.1   27.7  2.36 118.1   23.9  1445    25   101   0.58 00:12:50    
  7.9  64.5    0.1   27.5  2.37 118.4   24.7  2262    36   101   0.58 00:13:00    
  7.6  65.2    0.1   27.1  2.38 118.8   24.9  2854   116   101   0.58 00:13:10    
  7.3  64.9    0.1   27.6  2.37 118.7   24.1  1766    96   101   0.58 00:13:20    
  7.8  64.3    0.2   27.7  2.37 118.5   24.7  3956    84   101   0.58 00:13:30    
  8.0  63.5    0.2   28.4  2.29 114.6   22.4  1490    43   101   0.58 00:13:40    
  8.1  64.4    0.1   27.4  2.35 117.4   24.3  2213    43   101   0.58 00:13:50    
  7.8  64.7    0.1   27.4  2.39 119.5   25.0  2698    40   101   0.58 00:14:00    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  7.8  64.8    0.1   27.3  2.39 119.5   24.3  1627    53   101   0.58 00:14:10    
  7.1  65.5    0.1   27.3  2.41 120.5   25.1  3587    63   101   0.58 00:14:20    
  7.6  64.8    0.1   27.5  2.37 118.3   24.8  1558    24   101   0.58 00:14:30    
  7.6  64.9    0.1   27.4  2.36 118.2   24.3  1826    26   101   0.58 00:14:40    
  7.3  65.2    0.1   27.4  2.34 116.9   24.7  3365    39   101   0.58 00:14:50    
