
System configuration: type=Shared mode=Uncapped smt=4 lcpu=12 mem=6144MB psize=48 ent=2.00 

%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
 35.8  45.8    0.5   17.9  2.75 137.6   43.7  5402   218   101   0.58 00:00:10    
 49.5  35.5    0.3   14.7  2.90 144.9   55.2  3224   278   101   0.58 00:00:20    
 33.3  47.6    0.2   18.8  2.84 142.1   40.2  3865   142   101   0.58 00:00:30    
 29.1  47.7    0.3   22.9  2.54 126.8   31.1  4379   146   101   0.58 00:00:40    
 20.9  52.0    0.1   27.0  2.15 107.7   23.3  2128    55   101   0.58 00:00:50    
 17.2  54.0    0.1   28.7  2.16 107.9   22.2  3595    83   101   0.58 00:01:00    
 21.8  50.4    0.1   27.7  2.20 110.0   22.3  1562    82   101   0.58 00:01:10    
 27.0  47.3    0.1   25.6  2.24 112.2   24.7  1961   161   101   0.58 00:01:20    
 22.2  50.0    0.1   27.7  2.22 110.8   23.1  3232   175   101   0.58 00:01:30    
 19.0  52.7    0.6   27.6  2.15 107.3   22.2  2617   159   101   0.58 00:01:40    
  9.2  58.3    0.2   32.3  2.04 102.2   18.7  3871    99   101   0.58 00:01:50    
  8.8  57.1    0.1   34.0  1.98  99.2   16.7  1293    73   101   0.58 00:02:00    
 11.9  55.8    0.1   32.1  2.07 103.7   18.7  1799    76   101   0.58 00:02:10    
  8.1  58.5    0.1   33.3  2.03 101.7   17.9  3553   157   101   0.58 00:02:20    
  8.6  57.8    0.1   33.5  2.00 100.0   16.9  1400    72   101   0.58 00:02:30    
  8.4  58.4    0.1   33.1  2.01 100.4   17.9  2398    77   101   0.58 00:02:40    
  8.1  58.7    0.1   33.1  2.01 100.5   17.7  2498    72   101   0.58 00:02:50    
  8.8  57.4    0.0   33.7  2.02 101.2   17.0  1140    44   101   0.58 00:03:00    
  8.5  58.7    0.1   32.7  2.04 102.1   18.8  3807    98   101   0.58 00:03:10    
  8.7  57.6    0.1   33.6  2.00  99.9   16.9  1376   122   101   0.58 00:03:20    
  8.5  58.2    0.1   33.3  2.02 101.0   18.0  2622    90   101   0.58 00:03:30    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  8.5  58.0    0.1   33.4  2.02 101.1   17.3  2401    85   101   0.58 00:03:40    
  8.7  58.0    0.1   33.2  2.01 100.3   17.2  1492    73   101   0.58 00:03:50    
  8.4  58.5    0.1   33.0  2.05 102.4   18.3  3483    87   101   0.58 00:04:00    
