
System configuration: type=Shared mode=Uncapped smt=4 lcpu=32 mem=16384MB psize=12 ent=4.00 

%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 61.1  33.8    0.1    5.0  6.99 174.7   85.3  0.29 24104     0   101   1.21 00:00:10    
 42.9  26.6    0.1   30.5  7.04 175.9   40.1  0.85 12654     0   101   1.21 00:00:20    
 36.0  26.0    0.1   37.9  6.54 163.5   27.0  2.34 10142     0   101   1.21 00:00:30    
 33.5  24.6    0.0   41.9  3.91  97.7   16.3  5.60  3060     0   101   1.21 00:00:40    
 30.6  18.9    0.0   50.5  3.30  82.6   12.2  6.26  1891     0   101   1.21 00:00:50    
 30.6  15.8    0.0   53.6  2.99  74.7   12.2  6.49  1896     0   101   1.21 00:01:01    
 35.4  26.1    0.0   38.4  5.05 126.3   20.3  4.34  9793     0   101   1.21 00:01:11    
 35.7  16.5    0.0   47.9  3.30  82.4   15.1  6.16  2709     0   101   1.21 00:01:21    
 34.5  24.7    0.0   40.8  4.70 117.4   16.9  4.57  8183     0   101   1.21 00:01:31    
 21.2  13.0    0.0   65.8  2.26  56.4   10.5  7.40  2131     0   101   1.21 00:01:41    
 32.4  19.6    0.0   48.0  3.51  87.7   11.8  5.56  2563     0   101   1.21 00:01:51    
 42.1  18.3    0.0   39.5  3.84  96.1   16.3  5.70  3048     0   101   1.21 00:02:01    
 44.2  17.2    0.0   38.6  4.12 102.9   17.4  5.24  3574     0   101   1.21 00:02:11    
 39.6  19.4    0.0   41.0  3.93  98.4   14.6  4.78  2965     0   101   1.21 00:02:21    
 38.3  17.0    0.0   44.7  3.67  91.7   14.7  4.60  2697     0   101   1.21 00:02:31    
 24.5  17.0    0.0   58.4  2.79  69.9   12.9  6.62  2044     0   101   1.21 00:02:41    
 34.7  14.9    0.0   50.4  3.29  82.4   10.6  6.18  2326     0   101   1.21 00:02:51    
 37.8  17.6    0.0   44.7  3.45  86.3   16.9  5.66  2157     0   101   1.21 00:03:01    
 44.2  23.9    0.0   31.9  5.51 137.7   28.1  3.87  7249     0   101   1.21 00:03:11    
 38.7  20.6    0.0   40.7  4.04 101.0   15.9  4.09  6364     0   101   1.21 00:03:21    
 39.2  20.5    0.0   40.3  4.16 104.1   14.4  4.40  3247     0   101   1.21 00:03:31    
%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 33.8  13.1    0.0   53.1  3.17  79.2   11.7  4.91  2486     0   101   1.21 00:03:41    
 40.5  18.4    0.0   41.0  3.95  98.7   14.5  4.55  2654     0   101   1.21 00:03:51    
 44.1  18.7    0.0   37.1  4.11 102.6   15.8  4.59  2994     0   101   1.21 00:04:01    
 41.5  19.4    0.0   39.1  5.04 126.0   21.5  3.07  5611     0   101   1.21 00:04:11    
 39.9  19.6    0.0   40.5  4.05 101.3   13.4  4.26  3373     0   101   1.21 00:04:21    
 43.8  16.0    0.0   40.2  4.12 102.9   14.7  4.07  2480     0   101   1.21 00:04:31    
 38.9  18.9    0.0   42.2  3.90  97.4   13.8  4.63  2430     0   101   1.21 00:04:41    
 35.0  13.6    0.0   51.4  3.23  80.9   12.4  4.74  2014     0   101   1.21 00:04:51    
 39.0  18.7    0.0   42.2  3.64  91.1   15.7  4.74  2463     0   101   1.21 00:05:01    
 44.6  20.6    0.0   34.8  5.73 143.2   27.0  2.06  7751     0   101   1.21 00:05:11    
 40.2  19.8    0.1   39.9  4.50 112.6   19.0  3.65  7527     0   101   1.21 00:05:21    
 39.7  20.8    0.0   39.5  4.64 116.1   15.9  3.86  3891     0   101   1.21 00:05:31    
 40.3  18.1    0.0   41.7  4.15 103.8   14.2  4.08  7516     0   101   1.21 00:05:41    
 29.6  22.9    0.0   47.5  3.51  87.8   14.0  4.92  2630     0   101   1.21 00:05:51    
 38.3  22.5    0.0   39.2  3.61  90.3   18.2  4.58  6582     0   101   1.21 00:06:01    
 39.6  26.8    0.0   33.6  5.68 142.1   29.9  2.79  9930     0   101   1.21 00:06:11    
 25.7  16.5    0.0   57.7  2.84  70.9   12.6  5.29  2870     0   101   1.21 00:06:21    
 37.0  23.2    0.0   39.8  5.23 130.8   16.9  3.45  8190     0   101   1.21 00:06:31    
 31.1  17.4    0.0   51.5  3.28  81.9   12.5  4.91  2117     0   101   1.21 00:06:41    
 34.4  12.8    0.0   52.8  3.20  80.0   12.1  5.46  2244     0   101   1.21 00:06:51    
 44.1  19.5    0.0   36.4  4.12 102.9   15.4  3.95  3260     0   101   1.21 00:07:01    
%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 37.0  20.2    0.0   42.7  3.82  95.6   17.1  4.67  7553     0   101   1.21 00:07:11    
 22.9  17.7    0.0   59.4  2.74  68.4   11.2  5.37  2184     0   101   1.21 00:07:21    
 35.6  23.5    0.0   40.9  4.22 105.5   13.0  4.22  7096     0   101   1.21 00:07:31    
 23.2  20.3    0.0   56.6  2.93  73.3   12.3  4.99  3131     0   101   1.21 00:07:41    
 28.2  20.1    0.0   51.8  3.25  81.2   12.2  5.05  2480     0   101   1.21 00:07:51    
 24.6  12.2    0.0   63.2  2.29  57.4   11.3  6.02  1328     0   101   1.21 00:08:01    
 38.0  27.3    0.0   34.6  5.14 128.5   23.3  3.57  6581     0   101   1.21 00:08:11    
 26.7  18.2    0.0   55.0  3.04  76.0   13.2  5.29  4497     0   101   1.21 00:08:21    
 36.4  23.1    0.0   40.5  4.21 105.3   13.5  3.87  2916     0   101   1.21 00:08:31    
 22.6  13.6    0.0   63.8  2.43  60.8   10.0  6.21  1606     0   101   1.21 00:08:41    
 27.0  16.9    0.0   56.1  2.97  74.3   10.6  5.13  2414     0   101   1.21 00:08:51    
 34.7  18.8    0.0   46.5  3.06  76.6   17.3  5.45  2220     0   101   1.21 00:09:01    
 41.9  21.0    0.0   37.0  4.84 120.9   24.1  3.33  7125     0   101   1.21 00:09:11    
 36.3  17.4    0.0   46.2  3.62  90.6   12.3  4.88  2146     0   101   1.21 00:09:21    
 40.4  13.3    0.0   46.3  3.56  89.1   14.0  4.60  2168     0   101   1.21 00:09:31    
 36.3  17.5    0.0   46.1  3.60  90.1   12.6  4.95  3321     0   101   1.21 00:09:41    
 35.9  15.7    0.0   48.4  3.43  85.7   13.7  4.63  2895     0   101   1.21 00:09:51    
 47.5  19.1    0.0   33.4  4.00  99.9   18.7  4.53  2910     0   101   1.21 00:10:01    
 44.9  23.0    0.0   32.1  5.75 143.7   34.1  1.90 10204     0   101   1.21 00:10:11    
 29.2  16.2    0.0   54.5  3.05  76.2   12.4  5.19  2688     0   101   1.21 00:10:21    
 36.0  24.0    0.0   39.9  4.17 104.2   13.6  4.35  3947     0   101   1.21 00:10:31    
%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 32.4  16.4    0.0   51.2  3.28  82.0   12.9  4.80  2450     0   101   1.21 00:10:41    
 29.0  21.2    0.0   49.8  3.35  83.7   13.2  5.14  2903     0   101   1.21 00:10:51    
 44.3  16.2    0.0   39.5  3.78  94.6   15.7  4.32  3628     0   101   1.21 00:11:01    
 37.7  23.0    0.0   39.2  4.38 109.6   18.5  4.10  4863     0   101   1.21 00:11:11    
 30.1  22.2    0.0   47.7  3.50  87.4   13.4  4.52  6344     0   101   1.21 00:11:21    
 28.7  15.5    0.0   55.8  2.98  74.5   10.9  5.61  1818     0   101   1.21 00:11:31    
 37.8  21.8    0.0   40.4  4.46 111.5   15.9  3.63  7683     0   101   1.21 00:11:41    
 39.2  13.6    0.0   47.2  3.52  88.0   13.2  5.11  2636     0   101   1.21 00:11:51    
 44.8  21.8    0.0   33.4  4.06 101.4   19.7  4.55  3413     0   101   1.21 00:12:01    
 42.8  21.2    0.0   36.0  5.15 128.8   24.1  3.87  9784     0   101   1.21 00:12:11    
 33.6  13.9    0.1   52.5  3.15  78.7   13.3  5.85  2080     0   101   1.21 00:12:21    
 39.1  20.7    0.0   40.2  4.95 123.8   16.6  4.37  8229     0   101   1.21 00:12:31    
 34.7  12.6    0.0   52.7  3.22  80.5   12.9  5.79  1739     0   101   1.21 00:12:41    
 32.2  18.6    0.0   49.2  3.39  84.6   11.0  5.26  1949     0   101   1.21 00:12:51    
 45.9  14.9    0.0   39.2  3.77  94.2   17.6  4.45  3212     0   101   1.21 00:13:01    
 40.2  21.4    0.0   38.4  5.00 125.0   19.7  3.24  6078     0   101   1.21 00:13:11    
 33.6  18.9    0.0   47.5  3.52  88.0   13.8  4.45  4363     0   101   1.21 00:13:21    
 36.0  19.2    0.0   44.7  3.74  93.4   13.4  4.50  2301     0   101   1.21 00:13:31    
 22.3  15.0    0.0   62.8  2.49  62.2   11.3  6.19  1556     0   101   1.21 00:13:41    
 23.0  12.9    0.0   64.1  2.39  59.7    8.4  5.71  1584     0   101   1.21 00:13:51    
 35.2  22.2    0.0   42.6  3.54  88.5   17.0  4.95  3473     0   101   1.21 00:14:01    
%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 38.7  21.8    0.0   39.5  3.94  98.6   16.4  4.27  6883     0   101   1.21 00:14:11    
 27.6  18.3    0.0   54.1  3.09  77.2   12.2  5.53  2821     0   101   1.21 00:14:21    
 34.6  23.1    0.0   42.3  3.90  97.4   13.3  4.44  5207     0   101   1.21 00:14:31    
 28.8  15.4    0.0   55.8  2.93  73.2   11.9  5.67  1712     0   101   1.21 00:14:41    
 28.1  19.8    0.0   52.1  3.22  80.4   12.0  4.86  2210     0   101   1.21 00:14:51    
 40.2  15.3    0.0   44.5  3.18  79.4   19.1  5.32  1901     0   101   1.21 00:15:01    
 47.6  25.7    0.0   26.7  6.38 159.6   41.9  1.35 12736     0   101   1.21 00:15:11    
 43.8  17.2    0.0   39.0  4.83 120.8   19.1  3.09  4840     0   101   1.21 00:15:21    
 38.1  21.5    0.0   40.4  5.02 125.4   17.4  3.64  5001     0   101   1.21 00:15:31    
 35.6  15.9    0.0   48.5  3.49  87.2   12.9  4.74  2251     0   101   1.21 00:15:41    
 38.8  19.3    0.0   41.9  3.88  97.0   13.6  4.65  2416     0   101   1.21 00:15:51    
 45.7  18.3    0.0   36.0  3.99  99.8   17.6  4.17  2864     0   101   1.21 00:16:01    
 42.4  17.6    0.0   40.0  4.15 103.7   16.2  4.51  3512     0   101   1.21 00:16:11    
 40.7  19.4    0.0   39.9  4.95 123.7   17.1  3.05  3774     0   101   1.21 00:16:21    
 43.0  16.6    0.0   40.4  4.29 107.1   15.6  4.54  3011     0   101   1.21 00:16:31    
 39.9  19.9    0.0   40.2  4.48 111.9   16.7  3.22  3134     0   101   1.21 00:16:41    
 39.5  15.1    0.0   45.4  3.66  91.6   13.5  5.30  2758     0   101   1.21 00:16:51    
 44.7  19.8    0.0   35.4  4.26 106.5   18.3  3.89  3075     0   101   1.21 00:17:01    
 42.0  18.0    0.0   40.0  4.14 103.4   14.9  4.27  3293     0   101   1.21 00:17:11    
 24.1  14.3    0.0   61.7  2.54  63.4   12.3  5.78  2382     0   101   1.21 00:17:21    
 31.3  22.4    0.0   46.3  3.61  90.3   11.5  4.76  2710     0   101   1.21 00:17:31    
%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 21.7  11.0    0.0   67.3  2.20  55.0    9.3  6.35  1449     0   101   1.21 00:17:41    
 31.2  20.3    0.0   48.5  3.45  86.2   12.3  4.65  2104     0   101   1.21 00:17:51    
 38.7  19.3    0.0   42.1  3.25  81.1   18.7  5.18  2399     0   101   1.21 00:18:01    
 36.7  26.0    0.0   37.2  5.91 147.7   26.4  2.21 12659     0   101   1.21 00:18:11    
 33.8  25.1    0.0   41.1  3.96  99.0   15.3  4.36  4842     0   101   1.21 00:18:21    
 30.9  18.6    0.0   50.5  3.31  82.7   12.5  4.83  2334     0   101   1.21 00:18:31    
 30.4  24.3    0.0   45.3  3.76  93.9   12.8  4.86  6614     0   101   1.21 00:18:41    
 24.5  11.6    0.0   63.8  2.41  60.2   11.0  5.64  1468     0   101   1.21 00:18:51    
 42.0  22.2    0.0   35.8  4.17 104.3   17.0  4.38  3891     0   101   1.21 00:19:01    
 38.6  20.6    0.0   40.8  5.07 126.9   17.9  2.90  8735     0   101   1.21 00:19:11    
 38.8  17.3    0.0   43.9  3.78  94.6   13.9  4.68  2830     0   101   1.21 00:19:21    
 34.4  25.4    0.0   40.2  4.08 102.1   14.8  4.04  6722     0   101   1.21 00:19:31    
 23.4  13.6    0.0   62.9  2.52  62.9   11.1  6.01  2520     0   101   1.21 00:19:41    
 27.9  19.7    0.0   52.5  3.19  79.8   10.8  5.02  2064     0   101   1.21 00:19:51    
 36.3  17.2    0.0   46.5  3.16  79.0   17.9  5.00  2205     0   101   1.21 00:20:01    
 44.0  27.5    0.0   28.5  6.54 163.4   38.6  1.06 15561     0   101   1.21 00:20:11    
 33.6  17.8    0.0   48.6  3.41  85.1   13.7  4.61  2994     0   101   1.21 00:20:21    
 34.1  25.5    0.0   40.4  4.93 123.2   17.1  3.56  7788     0   101   1.21 00:20:31    
 30.9  19.2    0.0   49.8  3.38  84.4   12.6  4.83  3658     0   101   1.21 00:20:41    
