
System configuration: type=Shared mode=Uncapped smt=4 lcpu=32 mem=16384MB psize=12 ent=4.00 

%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
 42.6  17.3    0.0   40.1  3.99  99.6   14.4  4.20  2917     0   101   1.21 00:09:31    
 30.2  12.4    0.0   57.5  2.88  72.0   11.8  5.58  1978     0   101   1.21 00:09:41    
 38.6  20.9    0.0   40.5  3.97  99.3   13.7  4.45  2750     0   101   1.21 00:09:51    
 23.8  11.3    0.0   64.8  2.15  53.8   12.5  5.88  2360     0   101   1.21 00:10:01    
 45.3  26.1    0.0   28.6  5.79 144.8   32.7  1.89 10162     0   101   1.21 00:10:11    
 33.5  15.9    0.0   50.6  3.26  81.5   12.6  4.80  3036     0   101   1.21 00:10:21    
 35.8  23.4    0.0   40.9  4.67 116.8   16.6  3.97  3561     0   101   1.21 00:10:31    
%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 32.6  18.6    0.0   48.8  3.44  86.0   12.8  4.66  3157     0   101   1.21 00:10:41    
 33.9  25.1    0.0   41.0  4.14 103.5   14.6  4.22  7057     0   101   1.21 00:10:51    
 32.4  17.9    0.0   49.7  3.16  78.9   14.5  4.94  2652     0   101   1.21 00:11:01    
 44.2  18.8    0.0   37.0  4.69 117.1   20.7  3.75  4876     0   101   1.21 00:11:11    
 39.1  20.3    0.0   40.7  4.30 107.6   15.2  3.40  5955     0   101   1.21 00:11:21    
 33.1  16.2    0.0   50.7  3.31  82.8   13.6  5.29  3760     0   101   1.21 00:11:31    
 32.1  20.8    0.0   47.1  3.55  88.7   12.9  5.18  2135     0   101   1.21 00:11:41    
 42.9  17.2    0.0   39.9  4.14 103.4   14.3  4.28  3732     0   101   1.21 00:11:51    
 42.4  21.4    0.0   36.3  4.35 108.7   19.3  4.44  6818     0   101   1.21 00:12:01    
 41.9  23.1    0.0   35.0  4.84 120.9   24.1  3.86  7318     0   101   1.21 00:12:11    
 30.9  17.2    0.0   51.9  3.19  79.6   11.8  5.83  2854     0   101   1.21 00:12:21    
 34.7  24.9    0.0   40.4  4.34 108.5   16.8  4.20  6511     0   101   1.21 00:12:31    
 27.5  10.8    0.0   61.7  2.59  64.7   10.1  6.63  1618     0   101   1.21 00:12:41    
 38.2  17.4    0.0   44.4  3.76  94.0   12.5  4.54  2039     0   101   1.21 00:12:51    
 38.1  16.2    0.0   45.6  3.37  84.2   15.5  5.16  2217     0   101   1.21 00:13:01    
 38.4  22.8    0.0   38.8  5.57 139.2   21.8  2.50  9964     0   101   1.21 00:13:11    
 36.5  22.9    0.0   40.5  4.34 108.5   16.8  4.07  6118     0   101   1.21 00:13:21    
 32.0  18.4    0.0   49.7  3.43  85.7   11.9  4.81  3983     0   101   1.21 00:13:31    
 27.6  21.0    0.0   51.4  3.31  82.8   12.1  5.05  4284     0   101   1.21 00:13:41    
 25.0  12.7    0.0   62.4  2.51  62.6    9.7  5.90  1633     0   101   1.21 00:13:51    
 41.0  18.7    0.0   40.3  3.86  96.4   15.6  4.38  2509     0   101   1.21 00:14:01    
%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 43.0  18.9    0.0   38.1  4.45 111.4   18.2  4.07  4013     0   101   1.21 00:14:11    
 31.5  14.3    0.0   54.2  3.03  75.7   12.4  5.08  1922     0   101   1.21 00:14:21    
 30.4  20.1    0.0   49.4  3.34  83.5   12.9  5.38  2429     0   101   1.21 00:14:31    
 21.0  10.6    0.0   68.5  2.12  52.9    9.2  6.10  1554     0   101   1.21 00:14:41    
 34.3  19.8    0.0   45.9  3.67  91.7   12.9  4.89  2113     0   101   1.21 00:14:51    
 39.9  15.4    0.0   44.7  3.38  84.4   15.4  4.75  1941     0   101   1.21 00:15:01    
 50.6  24.4    0.0   25.0  5.98 149.5   45.3  2.05 11263     0   101   1.21 00:15:11    
 42.0  19.5    0.0   38.5  5.53 138.3   21.0  2.50  6252     0   101   1.21 00:15:21    
 39.3  20.0    0.0   40.7  4.09 102.1   15.2  4.30  3164     0   101   1.21 00:15:31    
 32.3  18.4    0.0   49.3  3.40  84.9   11.9  5.63  2273     0   101   1.21 00:15:41    
 39.8  15.6    0.0   44.6  3.70  92.5   14.3  4.42  2349     0   101   1.21 00:15:51    
 43.2  21.0    0.0   35.8  4.25 106.3   17.6  4.54  3370     0   101   1.21 00:16:01    
 41.5  20.0    0.0   38.4  3.93  98.1   19.3  4.32  4037     0   101   1.21 00:16:11    
 37.0  23.2    0.0   39.8  4.19 104.8   14.5  4.38  3882     0   101   1.21 00:16:21    
 34.7  18.4    0.0   46.9  3.51  87.7   13.9  4.64  2480     0   101   1.21 00:16:31    
 29.8  19.3    0.0   50.9  3.32  83.1   12.7  5.34  2156     0   101   1.21 00:16:41    
 34.1  21.1    0.0   44.8  3.70  92.5   13.7  4.31  2381     0   101   1.21 00:16:51    
 27.8  16.0    0.1   56.1  2.73  68.2   13.2  5.75  1729     0   101   1.21 00:17:01    
 38.1  24.8    0.0   37.1  4.16 104.0   18.0  4.03  3534     0   101   1.21 00:17:11    
 32.2  13.8    0.0   54.0  3.04  76.1   12.9  5.27  2644     0   101   1.21 00:17:21    
 36.9  22.0    0.0   41.0  4.41 110.1   14.6  3.94  6690     0   101   1.21 00:17:31    
%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 25.5  14.2    0.0   60.4  2.66  66.4   10.5  5.55  2430     0   101   1.21 00:17:41    
 27.2  16.5    0.0   56.4  2.94  73.5   11.2  5.56  2456     0   101   1.21 00:17:51    
 35.7  23.7    0.0   40.5  3.45  86.3   19.4  4.65  5062     0   101   1.21 00:18:01    
 38.6  24.8    0.0   36.6  5.33 133.2   24.1  3.26  9413     0   101   1.21 00:18:11    
 34.2  26.1    0.0   39.7  4.21 105.1   16.1  3.62  5173     0   101   1.21 00:18:21    
 35.2  21.1    0.0   43.7  3.84  95.9   14.1  4.62  7791     0   101   1.21 00:18:31    
 25.0  18.2    0.0   56.9  2.92  73.0   11.0  5.19  2374     0   101   1.21 00:18:41    
 25.9  14.7    0.0   59.5  2.74  68.4   10.1  5.79  1610     0   101   1.21 00:18:51    
 36.4  23.6    0.0   40.1  3.75  93.8   17.4  4.33  4825     0   101   1.21 00:19:01    
 34.3  25.5    0.0   40.2  4.96 124.0   18.7  3.30  8417     0   101   1.21 00:19:11    
 30.9  17.4    0.0   51.7  3.25  81.2   12.5  4.93  3004     0   101   1.21 00:19:21    
 33.6  20.9    0.0   45.5  3.62  90.4   13.9  4.73  2663     0   101   1.21 00:19:31    
 25.0  13.2    0.0   61.8  2.56  64.0   10.9  5.95  4787     0   101   1.21 00:19:41    
