
System configuration: type=Shared mode=Uncapped smt=4 lcpu=8 mem=8192MB psize=48 ent=1.00 

%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
 18.8  11.9    0.0   69.3  0.47  46.5    7.7   749    36   101   0.58 00:00:10    
  2.0   0.6    0.0   97.4  0.05   4.6    1.7   312     1   101   0.56 00:00:20    
  1.9   0.6    0.0   97.5  0.04   4.3    1.6   306     1   101   0.56 00:00:30    
  1.9   0.7    0.0   97.4  0.05   4.6    1.7   307     1   101   0.56 00:00:40    
  1.8   0.7    0.0   97.5  0.04   4.5    1.7   314     0   101   0.56 00:00:50    
  2.4   1.7    0.0   95.9  0.07   6.7    1.9   359     4   101   0.57 00:01:00    
  2.4   1.2    0.0   96.4  0.06   6.3    1.9   307     2   101   0.57 00:01:10    
  2.2   1.3    0.0   96.5  0.06   6.0    1.9   301     1   101   0.57 00:01:20    
  1.9   0.7    0.0   97.4  0.04   4.5    1.6   308     0   101   0.56 00:01:30    
  2.0   0.6    0.0   97.5  0.04   4.5    1.6   306     0   101   0.56 00:01:40    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   304     1   101   0.56 00:01:50    
  2.6   2.0    0.0   95.4  0.08   7.7    1.9   307     3   101   0.57 00:02:00    
  2.0   0.9    0.0   97.1  0.05   5.0    1.7   304     3   101   0.56 00:02:10    
  2.0   0.7    0.0   97.3  0.05   4.6    1.7   306     1   101   0.56 00:02:20    
  1.9   0.7    0.0   97.5  0.04   4.5    1.6   308     1   101   0.56 00:02:30    
  1.9   0.7    0.0   97.3  0.05   4.7    1.6   309     1   101   0.56 00:02:40    
  1.9   0.7    0.0   97.4  0.05   4.5    1.7   308     0   101   0.56 00:02:50    
  2.9   2.1    0.0   95.1  0.08   8.2    2.0   313     5   101   0.57 00:03:00    
  2.1   0.7    0.0   97.2  0.05   4.9    1.6   304     2   101   0.56 00:03:10    
  1.9   0.7    0.0   97.4  0.05   4.6    1.7   299     1   101   0.56 00:03:20    
  1.9   0.7    0.0   97.4  0.05   4.6    1.7   298     1   101   0.56 00:03:30    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  2.0   0.6    0.0   97.4  0.05   4.6    1.6   305     0   101   0.56 00:03:40    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   306     1   101   0.56 00:03:50    
  2.8   2.2    0.0   95.0  0.08   8.2    2.0   308     4   101   0.57 00:04:00    
  1.9   0.7    0.0   97.4  0.05   4.6    1.6   310     2   101   0.56 00:04:10    
  1.9   0.6    0.0   97.5  0.04   4.5    1.6   303     1   101   0.56 00:04:20    
  2.1   0.9    0.0   96.9  0.05   5.2    1.7   298     0   101   0.57 00:04:30    
  1.9   0.8    0.0   97.3  0.05   4.6    1.6   297     0   101   0.57 00:04:40    
  1.9   0.7    0.0   97.4  0.05   4.6    1.8   303     1   101   0.56 00:04:50    
  2.9   2.0    0.0   95.1  0.08   7.9    2.1   309     1   101   0.57 00:05:00    
  2.0   0.8    0.0   97.2  0.05   5.1    1.8   315     1   101   0.56 00:05:10    
  1.9   0.7    0.0   97.4  0.05   4.6    1.8   305     1   101   0.56 00:05:20    
  1.9   0.7    0.0   97.4  0.05   4.6    1.6   310     0   101   0.56 00:05:30    
  2.0   0.6    0.0   97.4  0.05   4.6    1.6   311     0   101   0.56 00:05:40    
  1.7   0.8    0.0   97.5  0.04   4.4    1.6   341     0   101   0.56 00:05:50    
  2.7   2.0    0.0   95.3  0.08   7.8    2.0   309     3   101   0.57 00:06:00    
