
System configuration: type=Shared mode=Uncapped smt=4 lcpu=8 mem=8192MB psize=48 ent=1.00 

%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
 18.7  12.3    0.3   68.8  0.47  47.0    7.5   711    15   101   0.58 00:00:10    
  1.9   0.5    0.0   97.6  0.04   4.3    1.5   312     0   101   0.56 00:00:20    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   321     0   101   0.57 00:00:30    
  1.9   0.7    0.0   97.4  0.05   4.5    1.6   320     1   101   0.57 00:00:40    
  1.9   0.7    0.0   97.5  0.04   4.5    1.8   315     0   101   0.56 00:00:50    
  2.4   1.7    0.0   95.9  0.07   6.7    1.9   370     3   101   0.57 00:01:00    
  2.4   1.2    0.0   96.4  0.06   6.1    1.8   307     2   101   0.57 00:01:10    
  1.9   0.7    0.0   97.4  0.04   4.5    1.6   309     1   101   0.56 00:01:20    
  1.9   0.7    0.0   97.5  0.04   4.4    1.6   314     0   101   0.57 00:01:30    
  1.9   0.6    0.0   97.5  0.04   4.3    1.5   312     0   101   0.56 00:01:40    
  1.9   0.6    0.0   97.5  0.04   4.3    1.5   313     1   101   0.56 00:01:50    
  2.5   2.0    0.0   95.5  0.08   7.5    2.1   313     1   101   0.57 00:02:00    
  2.1   0.9    0.0   97.0  0.05   5.1    1.7   313     2   101   0.57 00:02:10    
  1.9   0.6    0.0   97.6  0.04   4.3    1.6   312     1   101   0.56 00:02:20    
  1.9   0.6    0.0   97.4  0.04   4.5    1.6   318     0   101   0.56 00:02:30    
  1.9   0.7    0.0   97.4  0.05   4.6    1.6   321     0   101   0.56 00:02:40    
  1.8   0.7    0.0   97.5  0.04   4.4    1.7   317     0   101   0.56 00:02:50    
  2.9   2.1    0.0   95.0  0.08   8.3    2.0   315     4   101   0.57 00:03:00    
  2.1   0.6    0.0   97.3  0.05   4.8    1.6   313     0   101   0.56 00:03:10    
  1.9   0.7    0.0   97.5  0.04   4.4    1.6   314     0   101   0.56 00:03:20    
  2.5   1.5    0.0   96.0  0.07   6.7    1.9   315     1   101   0.57 00:03:30    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  2.0   0.6    0.0   97.5  0.04   4.4    1.6   310     0   101   0.56 00:03:40    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   304     0   101   0.56 00:03:50    
  2.7   2.2    0.0   95.1  0.08   8.1    2.1   316     1   101   0.57 00:04:00    
  1.9   0.7    0.0   97.4  0.04   4.5    1.5   314     1   101   0.56 00:04:10    
  1.9   0.6    0.0   97.6  0.04   4.3    1.5   315     1   101   0.56 00:04:20    
  2.0   0.6    0.0   97.4  0.05   4.5    1.6   314     1   101   0.56 00:04:30    
  2.0   0.8    0.0   97.3  0.05   4.7    1.5   318     0   101   0.56 00:04:40    
  1.8   0.7    0.0   97.5  0.05   4.5    1.7   314     1   101   0.56 00:04:50    
  3.0   2.2    0.0   94.8  0.08   8.4    2.1   321     2   101   0.57 00:05:00    
  1.8   0.7    0.0   97.5  0.05   4.5    1.6   346     1   101   0.56 00:05:10    
  1.7   0.7    0.0   97.6  0.04   4.2    1.7   313     0   101   0.56 00:05:20    
  2.0   0.6    0.0   97.4  0.04   4.5    1.6   315     0   101   0.56 00:05:30    
  2.0   0.6    0.0   97.5  0.04   4.5    1.6   318     1   101   0.56 00:05:40    
  1.9   0.6    0.0   97.5  0.04   4.3    1.6   308     0   101   0.57 00:05:50    
  2.3   1.8    0.0   95.8  0.07   6.9    1.9   320     3   101   0.57 00:06:00    
  2.5   1.3    0.0   96.2  0.06   6.4    1.9   307     2   101   0.57 00:06:10    
  1.9   0.6    0.0   97.5  0.04   4.3    1.6   315     1   101   0.56 00:06:20    
  1.9   0.7    0.0   97.4  0.05   4.5    1.6   319     2   101   0.56 00:06:30    
  1.9   0.7    0.0   97.4  0.05   4.5    1.5   321     2   101   0.56 00:06:40    
  1.9   0.6    0.0   97.5  0.04   4.3    1.7   307     0   101   0.56 00:06:50    
  1.9   1.2    0.0   96.9  0.05   5.3    1.7   313     1   101   0.57 00:07:00    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  2.8   1.5    0.0   95.7  0.07   7.2    1.9   304     2   101   0.57 00:07:10    
  1.8   0.7    0.0   97.5  0.04   4.4    1.8   307     1   101   0.57 00:07:20    
  2.0   0.7    0.0   97.2  0.05   4.8    1.6   308     1   101   0.57 00:07:30    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   307     0   101   0.56 00:07:40    
  1.9   0.7    0.0   97.4  0.04   4.5    1.7   303     1   101   0.57 00:07:50    
  2.5   2.0    0.0   95.5  0.07   7.5    1.9   314     3   101   0.57 00:08:00    
  2.4   0.8    0.0   96.8  0.06   5.5    1.7   306     1   101   0.57 00:08:10    
  1.9   0.6    0.0   97.5  0.04   4.3    1.6   304     1   101   0.56 00:08:20    
  1.8   0.7    0.0   97.5  0.04   4.4    1.6   311     0   101   0.56 00:08:30    
  2.0   0.8    0.0   97.3  0.05   4.8    1.6   313     1   101   0.57 00:08:40    
  2.1   0.8    0.0   97.2  0.05   4.9    1.8   307     2   101   0.56 00:08:50    
