
System configuration: type=Shared mode=Uncapped smt=4 lcpu=8 mem=8192MB psize=48 ent=1.00 

%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
 19.2  12.1    0.0   68.7  0.48  47.5    7.9   715    11   101   0.58 00:00:10    
  1.8   0.6    0.0   97.6  0.04   4.3    1.6   313     0   101   0.56 00:00:20    
  1.9   0.6    0.0   97.5  0.04   4.3    1.6   317     0   101   0.56 00:00:30    
  2.0   0.6    0.0   97.4  0.05   4.5    1.7   305     1   101   0.56 00:00:40    
  1.8   0.7    0.0   97.5  0.04   4.4    1.7   322     0   101   0.56 00:00:50    
  1.9   1.5    0.0   96.6  0.06   5.8    1.9   375     2   101   0.56 00:01:00    
  2.9   1.5    0.0   95.7  0.07   7.1    2.1   343     1   101   0.57 00:01:10    
  1.9   0.6    0.0   97.6  0.04   4.3    1.6   306     0   101   0.57 00:01:20    
  1.8   0.7    0.0   97.6  0.04   4.3    1.6   309     0   101   0.56 00:01:30    
  1.9   0.7    0.0   97.4  0.05   4.5    1.6   308     0   101   0.56 00:01:40    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   316     0   101   0.56 00:01:50    
  1.9   1.2    0.0   96.9  0.05   5.3    1.7   321     1   101   0.57 00:02:00    
  2.9   1.5    0.0   95.6  0.07   7.3    1.9   319     0   101   0.57 00:02:10    
  1.7   0.7    0.0   97.6  0.04   4.3    1.5   312     0   101   0.56 00:02:20    
  2.5   1.2    0.0   96.4  0.06   6.1    1.8   316     0   101   0.57 00:02:30    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   324     0   101   0.56 00:02:40    
  1.8   0.7    0.0   97.5  0.04   4.4    1.6   324     0   101   0.56 00:02:50    
  1.8   1.3    0.0   96.8  0.05   5.5    1.8   327     1   101   0.56 00:03:00    
  3.1   1.4    0.0   95.5  0.08   7.6    2.0   313     1   101   0.57 00:03:10    
  1.8   0.5    0.0   97.6  0.04   4.2    1.6   319     0   101   0.56 00:03:20    
  1.9   0.7    0.0   97.4  0.05   4.6    1.6   323     0   101   0.56 00:03:30    
