
System configuration: type=Shared mode=Uncapped smt=4 lcpu=8 mem=8192MB psize=48 ent=1.00 

%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
 19.6  12.2    0.0   68.1  0.48  47.9    8.3   745    21   101   0.58 00:00:10    
  1.8   1.5    0.0   96.7  0.06   5.6    1.7   372     0   101   0.57 00:00:20    
  1.8   0.7    0.0   97.5  0.04   4.4    1.7   319     0   101   0.56 00:00:30    
  2.0   0.6    0.0   97.4  0.05   4.6    1.6   313     1   101   0.56 00:00:40    
  1.9   0.6    0.0   97.5  0.04   4.3    1.7   314     1   101   0.56 00:00:50    
  1.9   0.7    0.0   97.4  0.04   4.5    1.5   316     3   101   0.56 00:01:00    
  2.7   1.6    0.0   95.8  0.07   7.1    1.9   322     2   101   0.57 00:01:10    
  1.9   1.3    0.0   96.8  0.05   5.4    1.8   353     1   101   0.57 00:01:20    
  1.9   0.6    0.0   97.5  0.04   4.5    1.5   319     0   101   0.56 00:01:30    
  1.7   0.7    0.0   97.6  0.04   4.3    1.5   317     1   101   0.56 00:01:40    
  1.9   0.6    0.0   97.5  0.04   4.5    1.6   313     0   101   0.56 00:01:50    
  2.7   1.3    0.0   96.0  0.07   6.7    2.0   319     1   101   0.57 00:02:00    
  2.1   0.9    0.0   97.0  0.05   5.2    1.6   333     1   101   0.56 00:02:10    
  1.7   1.1    0.0   97.2  0.05   4.8    1.7   306     2   101   0.56 00:02:20    
  2.0   0.9    0.0   97.2  0.05   5.1    1.7   316     1   101   0.56 00:02:30    
  2.0   0.6    0.0   97.4  0.04   4.5    1.6   311     0   101   0.56 00:02:40    
  1.9   0.7    0.0   97.4  0.04   4.5    1.8   313     0   101   0.56 00:02:50    
  2.7   1.5    0.0   95.7  0.07   7.1    1.8   306     3   101   0.57 00:03:00    
  2.2   0.6    0.0   97.2  0.05   4.8    1.6   308     1   101   0.57 00:03:10    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   309     0   101   0.56 00:03:20    
  8.2   7.2    0.1   84.6  0.22  21.8    4.4   420     8   101   0.58 00:03:30    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
 12.3   9.9    0.2   77.5  0.31  31.2    6.1   832    11   101   0.58 00:03:40    
  1.9   0.7    0.0   97.4  0.05   4.6    1.3   314     1   101   0.56 00:03:50    
  2.7   1.5    0.0   95.8  0.07   6.9    2.0   311     2   101   0.57 00:04:00    
  2.4   1.3    0.0   96.2  0.06   6.4    1.9   355     1   101   0.57 00:04:10    
  1.8   0.7    0.0   97.5  0.04   4.5    1.7   313     0   101   0.56 00:04:20    
  1.8   1.4    0.0   96.8  0.06   5.5    1.9   346     1   101   0.57 00:04:30    
  2.1   0.6    0.0   97.3  0.05   4.7    1.6   309     0   101   0.56 00:04:40    
