
System configuration: type=Shared mode=Uncapped smt=4 lcpu=8 mem=8192MB psize=48 ent=1.00 

%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
 19.1  11.9    0.0   69.0  0.47  46.9    8.2   729    21   101   0.58 00:00:10    
  1.9   0.6    0.0   97.5  0.04   4.3    1.5   315     1   101   0.56 00:00:20    
  1.8   0.7    0.0   97.5  0.04   4.3    1.6   306     0   101   0.56 00:00:30    
  2.0   1.5    0.0   96.4  0.06   6.0    1.9   360     1   101   0.57 00:00:40    
  1.8   0.5    0.0   97.6  0.04   4.2    1.5   304     0   101   0.56 00:00:50    
  1.9   0.6    0.0   97.4  0.04   4.4    1.5   309     1   101   0.56 00:01:00    
  2.8   1.6    0.0   95.6  0.07   7.4    2.0   313     2   101   0.57 00:01:10    
  1.9   0.6    0.0   97.5  0.04   4.4    1.5   305     0   101   0.56 00:01:20    
  1.9   0.6    0.0   97.6  0.04   4.3    1.5   307     0   101   0.56 00:01:30    
  2.4   1.8    0.0   95.8  0.07   7.0    2.0   309     1   101   0.57 00:01:40    
  1.9   0.7    0.0   97.5  0.04   4.4    1.5   305     0   101   0.57 00:01:50    
  1.8   0.7    0.0   97.5  0.04   4.4    1.6   310     1   101   0.56 00:02:00    
  2.8   1.4    0.0   95.8  0.07   7.1    1.9   303     1   101   0.57 00:02:10    
  1.9   0.6    0.0   97.5  0.04   4.3    1.6   303     1   101   0.56 00:02:20    
  1.8   0.7    0.0   97.5  0.04   4.3    1.6   308     1   101   0.56 00:02:30    
  1.9   1.3    0.0   96.8  0.05   5.4    1.7   317     0   101   0.57 00:02:40    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   305     1   101   0.56 00:02:50    
  2.2   0.7    0.0   97.1  0.05   4.9    1.6   309     2   101   0.56 00:03:00    
  2.8   1.5    0.0   95.7  0.07   7.3    1.9   312     3   101   0.57 00:03:10    
  1.9   0.7    0.0   97.5  0.04   4.4    1.5   305     1   101   0.57 00:03:20    
  1.9   0.5    0.0   97.6  0.04   4.2    1.6   305     0   101   0.56 00:03:30    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  1.9   1.2    0.0   96.8  0.05   5.4    1.7   316     1   101   0.57 00:03:40    
  1.8   0.7    0.0   97.6  0.04   4.3    1.6   305     0   101   0.56 00:03:50    
  2.0   0.8    0.0   97.2  0.05   4.8    1.6   316     2   101   0.56 00:04:00    
  2.8   1.4    0.0   95.8  0.07   6.8    1.9   306     3   101   0.57 00:04:10    
  1.9   0.6    0.0   97.6  0.04   4.3    1.6   304     0   101   0.56 00:04:20    
  2.0   0.9    0.0   97.1  0.05   5.0    1.7   307     0   101   0.57 00:04:30    
  1.9   1.3    0.0   96.8  0.05   5.5    1.7   306     0   101   0.57 00:04:40    
  2.0   0.6    0.0   97.4  0.05   4.5    1.7   297     1   101   0.57 00:04:50    
  2.0   0.6    0.0   97.4  0.05   4.5    1.6   301     2   101   0.56 00:05:00    
  2.9   1.6    0.0   95.5  0.07   7.4    2.1   342     1   101   0.57 00:05:10    
  1.9   0.7    0.0   97.4  0.04   4.5    1.6   296     1   101   0.56 00:05:20    
  1.8   0.6    0.0   97.6  0.04   4.2    1.6   297     0   101   0.56 00:05:30    
  2.0   1.2    0.0   96.8  0.05   5.4    1.7   308     0   101   0.57 00:05:40    
  1.8   0.8    0.0   97.4  0.04   4.5    1.6   320     1   101   0.56 00:05:50    
  1.8   0.7    0.0   97.5  0.04   4.4    1.6   298     1   101   0.56 00:06:00    
  2.9   1.5    0.0   95.6  0.07   7.3    2.1   331     2   101   0.57 00:06:10    
  1.9   0.6    0.0   97.5  0.04   4.3    1.6   308     1   101   0.56 00:06:20    
  1.9   0.7    0.0   97.4  0.04   4.4    1.5   297     1   101   0.57 00:06:30    
  1.9   1.3    0.0   96.8  0.05   5.5    1.7   304     1   101   0.57 00:06:40    
  1.9   0.6    0.0   97.5  0.04   4.3    1.6   299     1   101   0.56 00:06:50    
  2.1   0.8    0.0   97.2  0.05   4.9    1.6   308     2   101   0.57 00:07:00    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  2.8   1.6    0.0   95.6  0.07   7.3    2.0   304     2   101   0.57 00:07:10    
  1.7   0.7    0.0   97.6  0.04   4.3    1.6   296     1   101   0.56 00:07:20    
  2.0   0.7    0.0   97.3  0.05   4.6    1.6   298     1   101   0.57 00:07:30    
  2.1   1.2    0.0   96.7  0.06   5.6    1.8   304     2   101   0.57 00:07:40    
  1.9   0.7    0.0   97.4  0.04   4.4    1.7   297     0   101   0.56 00:07:50    
  1.8   0.7    0.0   97.5  0.04   4.5    1.6   305     3   101   0.56 00:08:00    
  3.1   1.5    0.0   95.4  0.08   7.6    2.0   295     4   101   0.57 00:08:10    
  1.8   0.6    0.0   97.6  0.04   4.2    1.6   293     1   101   0.56 00:08:20    
  1.9   0.7    0.0   97.4  0.05   4.5    1.6   297     1   101   0.56 00:08:30    
  2.0   1.5    0.0   96.5  0.06   5.8    1.7   304     2   101   0.57 00:08:40    
  1.8   0.6    0.0   97.6  0.04   4.2    1.6   295     1   101   0.56 00:08:50    
  2.1   0.7    0.0   97.2  0.05   4.8    1.6   299     2   101   0.56 00:09:00    
  2.7   1.5    0.0   95.8  0.07   7.1    1.9   303     2   101   0.57 00:09:10    
  1.8   0.6    0.0   97.6  0.04   4.2    1.7   297     0   101   0.56 00:09:20    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   296     1   101   0.56 00:09:30    
  1.9   1.2    0.0   96.8  0.05   5.4    1.8   305     1   101   0.57 00:09:40    
  2.0   0.7    0.0   97.4  0.05   4.6    1.7   313     0   101   0.56 00:09:50    
  1.9   0.8    0.0   97.3  0.05   4.6    1.6   314     1   101   0.57 00:10:00    
  4.5   1.6    0.0   93.9  0.09   9.0    2.5   354     4   101   0.57 00:10:10    
  1.9   0.6    0.0   97.4  0.05   4.5    1.5   315     3   101   0.56 00:10:20    
  1.9   0.7    0.0   97.4  0.05   4.5    1.7   319     2   101   0.56 00:10:30    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
