
System configuration: type=Shared mode=Uncapped smt=4 lcpu=8 mem=8192MB psize=48 ent=1.00 

%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
 18.5  11.7    0.1   69.7  0.46  46.1    7.2   635    17   101   0.58 00:00:10    
 18.7  17.7    0.2   63.4  0.52  52.4    8.7   957    26   101   0.58 00:00:20    
  1.8   0.7    0.0   97.5  0.05   4.6    1.2   349     0   101   0.56 00:00:30    
  2.0   0.6    0.0   97.4  0.05   4.6    1.5   315     1   101   0.57 00:00:40    
  1.9   0.6    0.0   97.5  0.04   4.4    1.7   314     0   101   0.56 00:00:50    
  2.2   1.3    0.0   96.4  0.06   5.9    1.8   348     2   101   0.57 00:01:00    
  2.3   1.1    0.0   96.7  0.06   5.9    1.8   310     2   101   0.57 00:01:10    
  2.0   1.2    0.0   96.8  0.05   5.4    1.9   320     1   101   0.57 00:01:20    
  1.8   0.6    0.0   97.6  0.04   4.3    1.5   308     0   101   0.56 00:01:30    
  1.9   0.7    0.0   97.4  0.05   4.5    1.6   307     1   101   0.57 00:01:40    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   305     0   101   0.56 00:01:50    
  2.7   1.3    0.0   96.1  0.07   6.7    1.9   309     2   101   0.57 00:02:00    
  2.1   1.0    0.0   97.0  0.05   5.3    1.7   308     1   101   0.56 00:02:10    
  1.8   1.3    0.0   96.9  0.05   5.2    1.7   313     2   101   0.57 00:02:20    
  1.9   0.6    0.0   97.4  0.04   4.5    1.6   313     0   101   0.56 00:02:30    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   311     0   101   0.56 00:02:40    
  1.9   0.7    0.0   97.4  0.05   4.6    1.8   312     1   101   0.56 00:02:50    
  2.7   1.6    0.0   95.7  0.07   7.3    1.9   310     4   101   0.57 00:03:00    
  2.6   1.3    0.0   96.1  0.07   6.6    1.8   309     2   101   0.57 00:03:10    
  1.9   1.2    0.0   96.9  0.05   5.4    1.8   316     1   101   0.57 00:03:20    
  1.9   0.7    0.0   97.5  0.04   4.4    1.8   309     0   101   0.56 00:03:30    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  1.9   0.7    0.0   97.4  0.04   4.4    1.6   310     1   101   0.56 00:03:40    
  1.9   0.6    0.0   97.6  0.04   4.3    1.6   307     1   101   0.56 00:03:50    
  2.8   1.5    0.0   95.7  0.07   7.2    2.0   311     4   101   0.57 00:04:00    
  1.9   0.7    0.0   97.4  0.05   4.6    1.6   308     1   101   0.56 00:04:10    
  1.8   1.2    0.0   97.0  0.05   5.2    1.7   313     1   101   0.57 00:04:20    
  2.2   0.9    0.0   97.0  0.05   5.2    1.8   310     1   101   0.57 00:04:30    
  1.9   0.6    0.0   97.4  0.05   4.6    1.6   307     0   101   0.56 00:04:40    
  1.9   0.7    0.0   97.3  0.05   4.6    1.8   311     1   101   0.56 00:04:50    
  2.8   1.5    0.0   95.6  0.07   7.2    2.1   327     3   101   0.57 00:05:00    
  2.0   0.7    0.0   97.3  0.05   4.7    1.7   340     1   101   0.56 00:05:10    
  1.9   1.2    0.0   96.9  0.05   5.3    1.8   318     1   101   0.57 00:05:20    
  1.6   0.8    0.0   97.6  0.04   4.3    1.6   347     1   101   0.56 00:05:30    
  2.0   0.6    0.0   97.3  0.05   4.7    1.6   316     1   101   0.57 00:05:40    
  1.9   0.6    0.0   97.5  0.04   4.3    1.5   312     2   101   0.56 00:05:50    
  2.1   0.9    0.0   97.0  0.05   5.0    1.7   312     1   101   0.56 00:06:00    
  2.7   1.5    0.0   95.8  0.07   7.1    1.9   312     3   101   0.57 00:06:10    
  1.8   1.2    0.0   97.0  0.05   5.2    1.7   311     1   101   0.57 00:06:20    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   314     0   101   0.57 00:06:30    
  2.0   0.7    0.0   97.3  0.05   4.7    1.6   308     2   101   0.57 00:06:40    
  1.8   0.7    0.0   97.5  0.04   4.4    1.8   306     0   101   0.56 00:06:50    
  2.0   0.8    0.0   97.2  0.05   4.9    1.6   315     0   101   0.56 00:07:00    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  3.0   1.5    0.0   95.5  0.07   7.4    1.9   315     2   101   0.57 00:07:10    
  1.9   1.2    0.0   96.9  0.05   5.3    1.9   311     1   101   0.57 00:07:20    
  1.9   0.8    0.0   97.3  0.05   4.6    1.7   307     1   101   0.57 00:07:30    
  2.0   0.6    0.0   97.4  0.05   4.5    1.6   305     1   101   0.57 00:07:40    
  1.9   0.6    0.0   97.6  0.04   4.3    1.6   306     1   101   0.56 00:07:50    
  2.6   1.3    0.0   96.0  0.07   6.7    1.9   308     5   101   0.57 00:08:00    
  2.3   1.0    0.0   96.7  0.06   5.6    1.7   312     2   101   0.56 00:08:10    
  1.9   1.2    0.0   96.9  0.05   5.3    1.7   311     2   101   0.57 00:08:20    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   313     1   101   0.56 00:08:30    
  2.0   0.6    0.0   97.4  0.05   4.5    1.6   305     1   101   0.57 00:08:40    
  1.9   0.8    0.0   97.2  0.05   4.8    1.7   316     3   101   0.56 00:08:50    
  2.8   1.4    0.0   95.7  0.07   7.1    1.9   298     3   101   0.57 00:09:00    
  1.9   0.6    0.0   97.5  0.05   4.5    1.7   310     2   101   0.56 00:09:10    
  1.9   1.2    0.0   96.9  0.05   5.2    1.7   309     2   101   0.57 00:09:20    
  1.8   0.7    0.0   97.5  0.04   4.4    1.8   306     2   101   0.56 00:09:30    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   305     2   101   0.56 00:09:40    
  1.9   0.6    0.0   97.5  0.04   4.4    1.7   309     2   101   0.56 00:09:50    
  3.4   1.5    0.0   95.2  0.07   7.5    2.2   316     6   101   0.57 00:10:00    
  3.0   1.0    0.0   95.9  0.06   6.3    1.9   358     6   101   0.56 00:10:10    
  1.8   1.2    0.0   97.0  0.05   5.2    1.7   310     3   101   0.57 00:10:20    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   319     2   101   0.56 00:10:30    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  1.9   0.6    0.0   97.4  0.04   4.5    1.5   312     1   101   0.56 00:10:40    
  1.9   0.7    0.0   97.4  0.04   4.5    1.6   314     1   101   0.56 00:10:50    
  2.6   1.3    0.0   96.1  0.07   6.6    1.8   302     3   101   0.57 00:11:00    
  2.1   0.9    0.0   97.0  0.05   5.2    1.7   310     3   101   0.56 00:11:10    
  1.9   1.2    0.0   96.8  0.05   5.4    1.8   309     4   101   0.57 00:11:20    
  1.8   0.7    0.0   97.5  0.04   4.3    1.6   305     1   101   0.56 00:11:30    
  1.9   0.6    0.0   97.5  0.04   4.4    1.5   304     2   101   0.56 00:11:40    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   306     1   101   0.56 00:11:50    
  2.9   1.5    0.0   95.7  0.07   7.3    1.9   304     4   101   0.57 00:12:00    
  1.7   0.8    0.0   97.5  0.04   4.3    1.6   310     2   101   0.56 00:12:10    
  1.9   1.2    0.0   96.9  0.05   5.3    1.6   337     1   101   0.57 00:12:20    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   311     2   101   0.57 00:12:30    
  2.0   0.7    0.0   97.3  0.05   4.6    1.6   305     3   101   0.57 00:12:40    
