
System configuration: type=Shared mode=Uncapped smt=4 lcpu=8 mem=8192MB psize=48 ent=1.00 

%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
 18.3  11.4    0.0   70.3  0.45  45.0    7.7   618     6   101   0.58 00:00:10    
  1.9   0.6    0.0   97.5  0.05   4.5    1.5   305     0   101   0.56 00:00:20    
  1.8   0.7    0.0   97.4  0.04   4.5    1.6   311     0   101   0.56 00:00:30    
  2.0   0.7    0.0   97.3  0.05   4.7    1.6   302     0   101   0.57 00:00:40    
  1.9   1.4    0.0   96.7  0.06   5.6    1.9   351     1   101   0.57 00:00:50    
  2.7   1.3    0.0   96.1  0.06   6.5    1.9   303     1   101   0.57 00:01:00    
  2.0   0.9    0.0   97.2  0.05   5.0    1.7   310     0   101   0.57 00:01:10    
  1.9   0.6    0.0   97.4  0.04   4.4    1.6   300     0   101   0.56 00:01:20    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   306     0   101   0.56 00:01:30    
  2.0   0.6    0.0   97.4  0.05   4.5    1.6   306     0   101   0.57 00:01:40    
  1.9   1.3    0.0   96.9  0.05   5.3    1.7   309     0   101   0.57 00:01:50    
  2.7   1.3    0.0   96.0  0.07   6.7    1.9   306     0   101   0.57 00:02:00    
  2.0   0.7    0.0   97.2  0.05   4.8    1.7   303     0   101   0.57 00:02:10    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   304     0   101   0.57 00:02:20    
  1.8   0.7    0.0   97.5  0.04   4.4    1.6   308     0   101   0.56 00:02:30    
  1.8   0.6    0.0   97.5  0.04   4.3    1.6   303     0   101   0.57 00:02:40    
  2.0   1.2    0.0   96.8  0.05   5.4    1.8   324     1   101   0.57 00:02:50    
  2.8   1.4    0.0   95.9  0.07   6.7    1.9   302     0   101   0.57 00:03:00    
  2.1   0.8    0.0   97.2  0.05   5.1    1.7   302     0   101   0.57 00:03:10    
