
System configuration: type=Shared mode=Uncapped smt=4 lcpu=8 mem=8192MB psize=48 ent=1.00 

%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
 19.6  12.6    0.0   67.7  0.49  48.9    8.0   682    22   101   0.58 00:00:10    
  1.9   0.6    0.0   97.5  0.04   4.3    1.6   309     0   101   0.56 00:00:20    
  1.9   0.5    0.0   97.6  0.04   4.3    1.6   316     0   101   0.56 00:00:30    
  2.5   2.1    0.1   95.4  0.07   7.4    1.9   376     1   101   0.57 00:00:40    
  1.7   0.7    0.0   97.6  0.04   4.2    1.6   312     1   101   0.56 00:00:50    
  1.9   0.6    0.0   97.5  0.04   4.5    1.6   318     0   101   0.56 00:01:00    
  2.9   1.4    0.0   95.7  0.07   7.2    2.1   311     2   101   0.57 00:01:10    
  1.8   0.7    0.0   97.4  0.04   4.5    1.7   312     1   101   0.56 00:01:20    
  1.8   0.6    0.0   97.6  0.04   4.3    1.6   313     0   101   0.56 00:01:30    
  2.0   1.2    0.0   96.8  0.05   5.4    1.7   320     0   101   0.57 00:01:40    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   313     1   101   0.57 00:01:50    
  1.8   0.7    0.0   97.4  0.04   4.5    1.6   315     0   101   0.56 00:02:00    
  2.8   1.6    0.0   95.7  0.07   7.3    2.0   317     2   101   0.57 00:02:10    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   313     0   101   0.56 00:02:20    
  1.9   0.7    0.0   97.4  0.05   4.6    1.7   315     0   101   0.56 00:02:30    
  1.9   1.4    0.0   96.7  0.06   5.5    1.8   323     1   101   0.57 00:02:40    
  1.8   0.6    0.0   97.6  0.04   4.3    1.6   306     1   101   0.56 00:02:50    
  2.4   0.8    0.0   96.8  0.05   5.4    1.7   306     1   101   0.57 00:03:00    
  2.5   1.4    0.0   96.1  0.07   6.7    2.0   305     1   101   0.57 00:03:10    
  1.8   0.7    0.0   97.4  0.04   4.5    1.6   304     1   101   0.57 00:03:20    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   304     0   101   0.56 00:03:30    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
