
System configuration: type=Shared mode=Uncapped smt=4 lcpu=8 mem=8192MB psize=48 ent=1.00 

%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
 19.4  12.3    0.0   68.3  0.48  48.1    8.2   719     8   101   0.58 00:00:10    
  1.9   0.7    0.0   97.4  0.05   4.5    1.6   307     1   101   0.56 00:00:20    
  1.8   0.5    0.0   97.6  0.04   4.2    1.6   308     0   101   0.56 00:00:30    
  1.9   1.3    0.0   96.7  0.06   5.6    1.7   360     1   101   0.57 00:00:40    
  1.9   0.7    0.0   97.4  0.04   4.5    1.6   304     0   101   0.57 00:00:50    
  2.5   1.4    0.0   96.1  0.07   6.6    1.9   294     2   101   0.57 00:01:00    
  2.1   0.8    0.0   97.1  0.05   4.9    1.7   299     0   101   0.57 00:01:10    
  1.9   0.6    0.0   97.5  0.04   4.4    1.5   298     0   101   0.57 00:01:20    
  1.8   0.6    0.0   97.5  0.04   4.3    1.6   302     0   101   0.56 00:01:30    
  1.9   1.3    0.0   96.8  0.05   5.4    1.7   309     0   101   0.57 00:01:40    
  1.9   0.6    0.0   97.5  0.04   4.3    1.6   304     0   101   0.57 00:01:50    
  2.8   1.5    0.0   95.7  0.07   7.0    2.0   300     1   101   0.57 00:02:00    
  1.9   0.7    0.0   97.4  0.05   4.7    1.6   307     0   101   0.57 00:02:10    
  1.8   0.7    0.0   97.5  0.04   4.3    1.6   299     1   101   0.57 00:02:20    
  1.9   0.6    0.0   97.5  0.04   4.4    1.7   305     1   101   0.56 00:02:30    
  2.0   1.2    0.0   96.8  0.05   5.4    1.7   310     0   101   0.57 00:02:40    
  2.4   1.2    0.0   96.4  0.06   6.0    1.8   303     1   101   0.57 00:02:50    
  2.6   1.3    0.0   96.1  0.06   6.4    1.8   299     1   101   0.57 00:03:00    
  2.3   0.9    0.0   96.8  0.06   5.6    1.8   299     0   101   0.57 00:03:10    
  1.9   0.6    0.0   97.5  0.04   4.4    1.7   300     0   101   0.56 00:03:20    
  1.9   0.7    0.0   97.4  0.05   4.5    1.6   303     0   101   0.56 00:03:30    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  1.9   1.3    0.0   96.8  0.05   5.4    1.8   307     1   101   0.57 00:03:40    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   306     0   101   0.56 00:03:50    
  2.4   1.0    0.0   96.6  0.06   5.6    1.8   306     1   101   0.57 00:04:00    
  2.3   1.1    0.0   96.6  0.06   5.9    1.7   310     1   101   0.57 00:04:10    
  1.9   0.7    0.0   97.5  0.04   4.4    1.7   301     0   101   0.56 00:04:20    
  2.1   0.9    0.0   97.1  0.05   5.0    1.7   299     1   101   0.57 00:04:30    
  1.9   1.2    0.0   96.9  0.05   5.3    1.7   306     1   101   0.57 00:04:40    
  2.0   0.6    0.0   97.4  0.05   4.6    1.6   304     1   101   0.56 00:04:50    
  1.8   0.8    0.0   97.5  0.04   4.5    1.6   310     1   101   0.56 00:05:00    
  2.9   1.5    0.0   95.6  0.07   7.3    2.0   298     1   101   0.57 00:05:10    
  1.9   0.6    0.0   97.5  0.04   4.3    1.6   300     0   101   0.56 00:05:20    
  1.8   0.6    0.0   97.6  0.04   4.2    1.6   300     1   101   0.56 00:05:30    
  1.9   1.3    0.0   96.8  0.05   5.4    1.7   313     1   101   0.57 00:05:40    
  1.9   0.7    0.0   97.5  0.04   4.4    1.6   301     1   101   0.56 00:05:50    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   307     1   101   0.56 00:06:00    
  2.7   1.6    0.0   95.6  0.07   7.2    2.0   340     1   101   0.57 00:06:10    
  1.9   0.7    0.0   97.4  0.04   4.5    1.6   301     0   101   0.56 00:06:20    
  1.9   0.6    0.0   97.5  0.04   4.2    1.6   299     1   101   0.56 00:06:30    
  1.9   1.2    0.0   96.9  0.05   5.3    1.7   305     1   101   0.57 00:06:40    
  1.8   0.6    0.0   97.6  0.04   4.3    1.6   300     0   101   0.56 00:06:50    
  2.8   1.5    0.0   95.7  0.07   7.2    1.9   306     2   101   0.57 00:07:00    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  2.1   0.8    0.0   97.1  0.05   4.9    1.7   302     1   101   0.57 00:07:10    
  1.9   0.5    0.0   97.6  0.04   4.3    1.6   301     0   101   0.57 00:07:20    
  2.0   0.8    0.0   97.3  0.05   4.7    1.7   305     1   101   0.57 00:07:30    
  2.0   1.3    0.0   96.7  0.06   5.6    1.8   306     0   101   0.57 00:07:40    
  1.9   0.6    0.0   97.5  0.04   4.4    1.5   308     1   101   0.56 00:07:50    
  2.9   1.5    0.0   95.7  0.07   7.0    2.1   301     1   101   0.57 00:08:00    
  2.1   0.7    0.0   97.2  0.05   4.8    1.7   339     1   101   0.57 00:08:10    
  1.9   0.7    0.0   97.4  0.04   4.5    1.6   299     1   101   0.57 00:08:20    
  1.9   0.6    0.0   97.5  0.04   4.3    1.6   299     0   101   0.57 00:08:30    
  2.0   1.2    0.0   96.8  0.05   5.4    1.8   308     1   101   0.57 00:08:40    
  2.0   0.8    0.0   97.2  0.05   4.8    1.7   301     2   101   0.57 00:08:50    
  2.4   1.1    0.0   96.4  0.06   5.8    1.7   298     2   101   0.57 00:09:00    
  2.2   1.0    0.0   96.7  0.06   5.7    1.7   300     2   101   0.57 00:09:10    
  1.9   0.6    0.0   97.5  0.04   4.4    1.5   301     1   101   0.56 00:09:20    
  1.9   0.6    0.0   97.5  0.04   4.4    1.5   302     1   101   0.56 00:09:30    
  1.9   1.3    0.0   96.8  0.05   5.5    1.7   309     2   101   0.57 00:09:40    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   302     1   101   0.56 00:09:50    
  2.0   0.7    0.0   97.4  0.05   4.6    1.6   311     2   101   0.56 00:10:00    
  4.5   1.8    0.0   93.7  0.09   9.1    2.6   354     7   101   0.57 00:10:10    
  1.9   0.7    0.0   97.4  0.05   4.6    1.7   298     3   101   0.56 00:10:20    
  1.8   0.6    0.0   97.6  0.04   4.2    1.5   305     1   101   0.56 00:10:30    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  2.0   1.2    0.0   96.8  0.05   5.5    1.7   307     2   101   0.57 00:10:40    
  1.9   0.7    0.0   97.5  0.04   4.4    1.7   301     1   101   0.56 00:10:50    
  2.5   1.4    0.0   96.1  0.07   6.5    1.8   298     4   101   0.57 00:11:00    
  2.2   0.8    0.0   97.0  0.05   5.2    1.7   300     2   101   0.56 00:11:10    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   298     3   101   0.56 00:11:20    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   300     1   101   0.56 00:11:30    
  1.8   1.3    0.0   96.9  0.05   5.3    1.6   309     1   101   0.57 00:11:40    
  2.0   0.6    0.0   97.5  0.04   4.4    1.6   296     1   101   0.57 00:11:50    
  2.8   1.4    0.0   95.8  0.07   7.1    1.9   301     2   101   0.57 00:12:00    
  1.8   0.7    0.0   97.5  0.04   4.4    1.6   309     2   101   0.56 00:12:10    
  1.9   0.7    0.0   97.5  0.04   4.4    1.7   298     1   101   0.56 00:12:20    
  1.8   0.5    0.0   97.6  0.04   4.2    1.5   301     1   101   0.56 00:12:30    
  2.0   1.2    0.0   96.8  0.05   5.4    1.7   307     2   101   0.57 00:12:40    
  1.7   0.8    0.0   97.5  0.04   4.4    1.7   332     0   101   0.56 00:12:50    
  2.9   1.5    0.0   95.6  0.07   7.1    2.0   298     3   101   0.57 00:13:00    
  2.1   0.6    0.0   97.3  0.05   4.6    1.6   303     2   101   0.57 00:13:10    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   298     1   101   0.57 00:13:20    
  1.9   0.7    0.0   97.5  0.04   4.4    1.6   299     1   101   0.57 00:13:30    
