
System configuration: type=Shared mode=Uncapped smt=4 lcpu=8 mem=8192MB psize=48 ent=1.00 

%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
 18.5  11.9    0.0   69.6  0.46  45.7    7.7   624    17   101   0.58 00:00:10    
  1.9   1.5    0.0   96.6  0.06   5.7    1.9   374     1   101   0.57 00:00:20    
  1.7   0.6    0.0   97.6  0.04   4.3    1.6   316     0   101   0.56 00:00:30    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   311     1   101   0.56 00:00:40    
  2.0   0.6    0.0   97.4  0.05   4.6    1.7   315     0   101   0.57 00:00:50    
  2.6   1.4    0.0   96.1  0.07   6.5    1.9   311     3   101   0.57 00:01:00    
  2.1   0.9    0.0   97.0  0.05   5.1    1.7   311     1   101   0.57 00:01:10    
  1.9   1.1    0.0   97.0  0.05   5.2    1.8   317     0   101   0.57 00:01:20    
  1.9   0.6    0.0   97.5  0.04   4.3    1.6   321     0   101   0.56 00:01:30    
  2.0   0.7    0.0   97.3  0.05   4.7    1.6   314     0   101   0.56 00:01:40    
  1.8   0.7    0.0   97.6  0.04   4.4    1.6   311     0   101   0.56 00:01:50    
  2.8   1.4    0.0   95.8  0.07   6.9    1.9   310     2   101   0.57 00:02:00    
  2.6   1.3    0.0   96.1  0.06   6.5    1.8   320     2   101   0.57 00:02:10    
  1.8   1.3    0.0   96.8  0.05   5.4    1.7   322     1   101   0.56 00:02:20    
  1.9   0.7    0.0   97.5  0.04   4.5    1.6   314     0   101   0.56 00:02:30    
  2.0   0.7    0.0   97.3  0.05   4.7    1.6   311     0   101   0.56 00:02:40    
  1.9   0.7    0.0   97.4  0.05   4.5    1.7   308     0   101   0.56 00:02:50    
  2.8   1.6    0.0   95.7  0.07   7.2    2.0   306     2   101   0.57 00:03:00    
  2.1   0.7    0.0   97.2  0.05   4.9    1.6   309     1   101   0.56 00:03:10    
  1.9   1.2    0.0   96.9  0.05   5.4    1.8   312     0   101   0.57 00:03:20    
