
System configuration: type=Shared mode=Uncapped smt=4 lcpu=8 mem=8192MB psize=48 ent=1.00 

%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
 19.7  12.7    0.2   67.4  0.50  49.7    8.1   708    39   101   0.58 00:00:10    
  1.9   0.7    0.0   97.4  0.05   4.7    1.6   325     4   101   0.56 00:00:20    
  1.9   0.6    0.0   97.5  0.05   4.5    1.5   329     2   101   0.56 00:00:30    
  2.0   0.7    0.0   97.3  0.05   4.8    1.6   321     3   101   0.56 00:00:40    
  1.9   1.5    0.0   96.7  0.06   5.7    1.8   374     2   101   0.57 00:00:50    
  1.9   0.9    0.0   97.3  0.05   4.8    1.6   325     3   101   0.56 00:01:00    
  2.8   1.4    0.0   95.8  0.07   7.1    2.0   306     5   101   0.57 00:01:10    
  1.9   0.6    0.0   97.5  0.04   4.5    1.6   312     3   101   0.56 00:01:20    
  2.0   0.7    0.0   97.3  0.05   4.8    1.6   325     3   101   0.56 00:01:30    
  1.9   0.7    0.0   97.4  0.05   4.6    1.5   322     3   101   0.56 00:01:40    
  2.0   1.2    0.0   96.8  0.05   5.4    1.7   325     1   101   0.57 00:01:50    
  1.9   0.7    0.0   97.4  0.05   4.7    1.6   324     3   101   0.56 00:02:00    
  2.8   1.6    0.0   95.6  0.07   7.4    2.0   325     6   101   0.57 00:02:10    
  1.9   0.7    0.0   97.4  0.05   4.6    1.6   320     3   101   0.56 00:02:20    
  2.0   0.6    0.0   97.4  0.05   4.7    1.7   326     3   101   0.56 00:02:30    
  1.9   0.7    0.0   97.4  0.05   4.6    1.6   324     3   101   0.56 00:02:40    
 14.4   1.4    0.0   84.2  0.25  25.0    4.6   343     9   101   0.58 00:02:50    
  2.0   0.8    0.0   97.2  0.05   5.0    1.5   332     4   101   0.56 00:03:00    
  3.1   1.5    0.0   95.4  0.07   7.4    2.0   318     7   101   0.57 00:03:10    
  1.8   0.7    0.0   97.5  0.05   4.5    1.6   314     3   101   0.56 00:03:20    
  2.0   0.9    0.0   97.1  0.05   5.1    1.6   317     3   101   0.56 00:03:30    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  2.0   0.8    0.0   97.2  0.05   4.9    1.7   312     4   101   0.56 00:03:40    
  1.9   1.2    0.0   96.8  0.05   5.4    1.7   316     3   101   0.56 00:03:50    
  2.6   1.4    0.0   96.0  0.07   6.6    1.8   313     5   101   0.57 00:04:00    
