
System configuration: type=Shared mode=Uncapped smt=4 lcpu=8 mem=8192MB psize=48 ent=1.00 

%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
 19.0  12.4    0.2   68.3  0.48  47.9    7.8   755    18   101   0.58 00:00:10    
  1.9   1.5    0.0   96.7  0.06   5.7    1.7   363     0   101   0.57 00:00:20    
  1.9   0.7    0.0   97.5  0.04   4.4    1.6   311     0   101   0.56 00:00:30    
  2.0   0.7    0.0   97.3  0.05   4.7    1.7   306     1   101   0.57 00:00:40    
  1.8   0.6    0.0   97.6  0.04   4.3    1.6   307     1   101   0.56 00:00:50    
  3.1   2.0    0.0   94.9  0.08   8.5    2.1   304     3   101   0.57 00:01:00    
  2.1   0.9    0.0   97.0  0.05   5.1    1.8   307     2   101   0.57 00:01:10    
  1.9   1.2    0.0   96.9  0.05   5.2    1.7   313     0   101   0.57 00:01:20    
  1.8   0.6    0.0   97.5  0.04   4.3    1.5   309     0   101   0.56 00:01:30    
  1.9   0.7    0.0   97.4  0.05   4.6    1.6   309     0   101   0.56 00:01:40    
  1.9   0.6    0.0   97.5  0.04   4.4    1.5   299     1   101   0.57 00:01:50    
  2.9   1.5    0.0   95.6  0.07   7.4    1.9   306     3   101   0.57 00:02:00    
  1.9   0.7    0.0   97.4  0.05   4.6    1.6   313     2   101   0.56 00:02:10    
  1.9   1.3    0.0   96.8  0.05   5.3    1.7   313     1   101   0.57 00:02:20    
  1.8   0.7    0.0   97.5  0.05   4.5    1.5   318     1   101   0.56 00:02:30    
  2.0   0.7    0.0   97.3  0.05   4.7    1.7   315     0   101   0.56 00:02:40    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   309     0   101   0.56 00:02:50    
  2.7   1.5    0.0   95.8  0.07   6.9    1.9   305     3   101   0.57 00:03:00    
  2.2   0.9    0.0   96.9  0.05   5.5    1.7   312     1   101   0.56 00:03:10    
  1.9   1.2    0.0   96.9  0.05   5.3    1.7   312     2   101   0.56 00:03:20    
  1.9   0.7    0.0   97.4  0.05   4.5    1.5   313     0   101   0.56 00:03:30    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  1.9   0.7    0.0   97.4  0.04   4.5    1.6   311     0   101   0.56 00:03:40    
  1.8   0.7    0.0   97.5  0.04   4.4    1.7   308     1   101   0.56 00:03:50    
  2.5   1.1    0.0   96.4  0.06   6.0    1.8   309     1   101   0.57 00:04:00    
  2.3   1.0    0.0   96.7  0.06   5.8    1.8   318     2   101   0.57 00:04:10    
  1.9   1.3    0.0   96.8  0.05   5.5    1.7   320     0   101   0.56 00:04:20    
  2.0   1.0    0.0   96.9  0.05   5.1    1.6   321     0   101   0.56 00:04:30    
  2.0   0.6    0.0   97.4  0.05   4.6    1.6   311     1   101   0.56 00:04:40    
  2.0   0.6    0.0   97.4  0.05   4.6    1.7   313     1   101   0.56 00:04:50    
  1.9   0.7    0.0   97.4  0.05   4.6    1.5   315     1   101   0.56 00:05:00    
  2.9   1.7    0.0   95.5  0.08   7.5    2.0   325     2   101   0.57 00:05:10    
  1.9   1.2    0.0   96.9  0.05   5.4    1.8   309     1   101   0.57 00:05:20    
  1.9   0.8    0.0   97.4  0.05   4.6    1.5   344     0   101   0.56 00:05:30    
  1.8   0.7    0.0   97.5  0.04   4.4    1.6   312     0   101   0.56 00:05:40    
  1.9   0.6    0.0   97.4  0.04   4.5    1.7   305     1   101   0.56 00:05:50    
  2.7   1.3    0.0   96.0  0.07   6.7    1.8   309     2   101   0.57 00:06:00    
  2.1   0.9    0.0   97.0  0.05   5.2    1.7   314     2   101   0.56 00:06:10    
  1.8   1.3    0.0   96.8  0.05   5.4    1.6   317     1   101   0.56 00:06:20    
  1.9   0.8    0.0   97.3  0.05   4.7    1.6   310     1   101   0.56 00:06:30    
  2.0   0.6    0.0   97.4  0.05   4.5    1.6   314     1   101   0.56 00:06:40    
  1.8   0.6    0.0   97.6  0.04   4.3    1.7   315     1   101   0.56 00:06:50    
  3.0   1.8    0.0   95.3  0.08   7.9    2.0   313     2   101   0.57 00:07:00    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  1.9   0.8    0.0   97.4  0.05   4.6    1.6   317     1   101   0.56 00:07:10    
  1.9   1.2    0.0   96.9  0.05   5.4    2.0   319     2   101   0.57 00:07:20    
  2.1   0.8    0.0   97.2  0.05   4.9    1.5   314     1   101   0.56 00:07:30    
  1.8   0.7    0.0   97.4  0.05   4.5    1.5   306     0   101   0.56 00:07:40    
  1.9   0.7    0.0   97.4  0.04   4.5    1.5   305     1   101   0.56 00:07:50    
  2.9   1.5    0.0   95.6  0.07   7.1    1.9   303     5   101   0.57 00:08:00    
  2.1   0.7    0.0   97.2  0.05   4.9    1.7   306     1   101   0.56 00:08:10    
  1.9   1.3    0.0   96.8  0.06   5.5    1.7   309     2   101   0.57 00:08:20    
  1.8   0.8    0.0   97.4  0.05   4.6    1.7   312     1   101   0.56 00:08:30    
  2.1   0.9    0.0   97.0  0.05   5.2    1.6   299     1   101   0.56 00:08:40    
  1.9   0.6    0.0   97.5  0.04   4.4    1.7   304     1   101   0.56 00:08:50    
  2.2   1.0    0.0   96.9  0.05   5.2    1.6   307     1   101   0.57 00:09:00    
  2.5   1.3    0.0   96.2  0.07   6.6    1.8   307     2   101   0.57 00:09:10    
  1.9   1.2    0.0   96.9  0.05   5.3    1.8   307     1   101   0.57 00:09:20    
  1.9   0.7    0.0   97.4  0.05   4.6    1.6   306     1   101   0.56 00:09:30    
  2.0   0.7    0.0   97.4  0.05   4.6    1.5   307     1   101   0.56 00:09:40    
  1.9   0.7    0.0   97.4  0.05   4.6    1.6   309     1   101   0.56 00:09:50    
  1.9   0.7    0.0   97.4  0.04   4.5    1.6   306     2   101   0.57 00:10:00    
  4.6   1.6    0.0   93.8  0.09   9.0    2.6   359     7   101   0.57 00:10:10    
  1.9   1.2    0.0   96.9  0.05   5.4    1.9   320     3   101   0.57 00:10:20    
