
System configuration: type=Shared mode=Uncapped smt=4 lcpu=12 mem=8192MB psize=12 ent=1.00 

%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
 39.4   8.6    0.0   52.0  0.81  80.6    8.7  5.64   886     0   101   1.21 00:09:41    
 38.1  13.6    0.0   48.3  0.86  86.4    9.3  4.42   861     0   101   1.21 00:09:51    
 49.9  10.2    0.0   39.9  1.13 112.6   11.1  5.89   772     0   101   1.21 00:10:01    
 49.0  29.4    0.0   21.6  1.65 165.0   38.8  1.90  4020     0   101   1.21 00:10:11    
 49.3  10.2    0.0   40.4  1.09 109.0    9.6  4.80   795     0   101   1.21 00:10:21    
 26.9  11.2    0.0   62.0  0.63  63.3    7.8  3.97   874     0   101   1.21 00:10:31    
%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 48.5  11.1    0.0   40.4  1.12 111.6   10.3  4.67   761     0   101   1.21 00:10:41    
 30.8  10.4    0.0   58.8  0.70  70.3    7.3  4.21   804     0   101   1.21 00:10:51    
 46.3  12.6    0.0   41.1  1.09 109.0    9.9  4.93   766     0   101   1.21 00:11:01    
 35.4  10.2    0.0   54.4  0.77  77.3    8.1  3.78   660     0   101   1.21 00:11:11    
 45.1  13.7    0.0   41.2  1.00  99.8    9.4  3.37   659     0   101   1.21 00:11:21    
 39.5   9.4    0.0   51.0  0.83  82.9    8.2  5.32   597     0   101   1.21 00:11:31    
 42.6  12.8    0.0   44.6  0.93  93.0    9.0  5.16   716     0   101   1.21 00:11:41    
 41.4   9.8    0.0   48.8  0.85  85.3    8.6  4.27   653     0   101   1.21 00:11:51    
 36.5  15.5    0.0   47.9  0.87  86.7    9.0  4.45   779     0   101   1.21 00:12:01    
 47.7  11.9    0.0   40.3  1.15 115.2   11.0  3.87   958     0   101   1.21 00:12:11    
 29.1  11.9    0.0   59.0  0.70  69.7    7.6  5.82   970     0   101   1.21 00:12:21    
 49.4   9.9    0.0   40.7  1.06 105.8    9.2  4.22   729     0   101   1.21 00:12:31    
 30.5  11.4    0.0   58.1  0.71  71.2    7.7  6.63   877     0   101   1.21 00:12:41    
 48.6  10.6    0.0   40.8  1.09 108.8    9.7  4.52   690     0   101   1.21 00:12:51    
 30.1  12.7    0.0   57.2  0.72  72.3    8.3  5.16   871     0   101   1.21 00:13:01    
 44.9  14.5    0.0   40.6  1.14 114.2   11.1  2.50  1121     0   101   1.21 00:13:11    
 32.0   8.5    0.0   59.5  0.69  69.0    7.1  4.08   847     0   101   1.21 00:13:21    
 44.8  14.3    0.0   40.9  1.07 106.9   10.2  4.81   952     0   101   1.21 00:13:31    
 43.4   9.8    0.0   46.8  0.89  89.4    9.8  5.07   917     0   101   1.21 00:13:41    
 36.1  11.4    0.0   52.5  0.80  80.5    7.9  5.87   515     0   101   1.21 00:13:51    
 47.2  12.3    0.1   40.4  1.16 115.6   10.9  4.38   847     0   101   1.21 00:14:01    
%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 33.1  13.5    0.0   53.3  0.79  79.1    8.6  4.07   852     0   101   1.21 00:14:11    
 49.5  10.0    0.0   40.5  1.11 110.7   10.5  5.08   928     0   101   1.21 00:14:21    
 26.2  10.4    0.0   63.4  0.62  61.6    7.3  5.38   625     0   101   1.21 00:14:31    
 48.7  11.1    0.0   40.2  1.14 114.0   10.8  6.12  1059     0   101   1.21 00:14:41    
 27.0   9.9    0.0   63.1  0.63  62.9    6.8  4.87   683     0   101   1.21 00:14:51    
 48.3  11.8    0.1   39.7  1.12 112.2   11.5  4.75   950     0   101   1.21 00:15:01    
 49.6  31.2    0.0   19.2  1.39 139.2   38.1  2.03  4997     0   101   1.21 00:15:11    
 43.1  17.4    0.0   39.4  1.08 108.3   10.6  2.51  1288     0   101   1.21 00:15:21    
