
System configuration: type=Shared mode=Uncapped smt=4 lcpu=12 mem=8192MB psize=12 ent=1.00 

%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 56.2  36.9    0.2    6.7  2.36 235.8   84.2  0.29  9434     0   101   1.21 00:00:10    
 40.1  24.1    0.3   35.5  2.27 227.0   28.7  0.84  4258     0   101   1.21 00:00:20    
 31.7  28.4    0.0   39.8  1.57 156.6   16.4  2.28  1767     0   101   1.21 00:00:30    
 44.7  14.5    0.0   40.8  1.02 101.7    9.7  5.46   950     0   101   1.21 00:00:40    
 40.8   8.4    0.0   50.9  0.83  83.1    7.6  6.30   585     0   101   1.21 00:00:50    
 44.3  14.2    0.0   41.5  0.99  98.9    9.9  6.52   689     0   101   1.21 00:01:00    
 47.5  11.4    0.0   41.2  0.99  98.8    9.3  4.33   688     0   101   1.21 00:01:10    
 36.7  14.5    0.0   48.7  0.86  85.8   10.4  6.20   800     0   101   1.21 00:01:20    
 49.3  10.8    0.0   39.9  1.09 109.3    9.9  4.56   692     0   101   1.21 00:01:30    
 34.4  14.6    0.1   51.0  0.82  82.0    8.8  7.41   936     0   101   1.21 00:01:40    
 46.7  13.2    0.0   40.1  1.23 122.7   11.6  5.54  1288     0   101   1.21 00:01:50    
 40.3  14.2    0.0   45.5  0.88  88.4   10.9  5.86  1056     0   101   1.21 00:02:00    
 45.6  14.6    0.0   39.8  1.21 121.2   11.7  5.14  1035     0   101   1.21 00:02:10    
 44.3  14.1    0.0   41.6  0.97  97.5   10.8  4.75  1383     0   101   1.21 00:02:20    
 45.0  14.4    0.0   40.6  1.01 101.3    9.9  4.61   815     0   101   1.21 00:02:30    
 48.1  12.9    0.0   39.0  1.10 110.0   11.0  6.42   958     0   101   1.21 00:02:40    
 33.7  12.4    0.0   53.9  0.78  78.3    8.2  6.38   640     0   101   1.21 00:02:50    
 48.4  12.1    0.0   39.4  1.21 121.3   12.8  5.68   952     0   101   1.21 00:03:00    
 33.2  15.8    0.0   51.0  0.82  81.8    9.1  3.99  1083     0   101   1.21 00:03:10    
 46.9  13.3    0.0   39.8  1.15 114.6   11.0  3.99   976     0   101   1.21 00:03:20    
 31.4   7.9    0.0   60.6  0.67  66.8    7.2  4.36   553     0   101   1.21 00:03:30    
%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 45.3  15.4    0.0   39.3  1.22 122.1   13.8  4.92  1155     0   101   1.21 00:03:40    
 41.2  10.1    0.0   48.7  0.86  86.4    8.5  4.49   861     0   101   1.21 00:03:50    
 44.2  16.0    0.0   39.8  1.12 112.2   11.9  4.87  1045     0   101   1.21 00:04:00    
 44.6  16.0    0.0   39.4  1.24 123.9   12.9  2.93  1604     0   101   1.21 00:04:10    
 37.2  16.1    0.0   46.7  0.89  89.3   10.9  4.23   764     0   101   1.21 00:04:20    
 48.2  11.1    0.0   40.6  1.17 116.5    9.9  4.08   876     0   101   1.21 00:04:30    
 35.1  16.1    0.0   48.8  0.87  86.7    9.4  4.57   939     0   101   1.21 00:04:40    
 48.0  11.7    0.0   40.3  1.18 118.0   10.9  4.88   830     0   101   1.21 00:04:50    
 37.2  13.5    0.0   49.3  0.84  83.6    9.9  4.70   936     0   101   1.21 00:05:00    
 45.7  24.5    0.0   29.7  1.65 165.5   28.8  2.13  3103     0   101   1.21 00:05:10    
 46.9  14.2    0.0   38.9  1.10 109.9   10.8  3.37  1207     0   101   1.21 00:05:20    
 31.8  10.8    0.0   57.4  0.72  72.2    7.8  4.10   584     0   101   1.21 00:05:30    
 47.8  11.7    0.0   40.5  1.05 104.9    9.5  3.89  1104     0   101   1.21 00:05:40    
 28.1  10.4    0.0   61.5  0.66  65.8    8.1  4.97   721     0   101   1.21 00:05:50    
 49.1  11.4    0.0   39.5  1.17 116.8   11.0  4.86  1088     0   101   1.21 00:06:00    
 27.8  19.6    0.0   52.6  0.78  77.6   10.6  2.67  1735     0   101   1.21 00:06:10    
 44.9  14.1    0.0   41.0  1.16 115.9   10.2  5.19  1475     0   101   1.21 00:06:20    
 28.4   8.1    0.0   63.5  0.62  62.4    6.6  3.45   556     0   101   1.21 00:06:30    
 47.0  12.9    0.0   40.1  1.11 111.3   11.2  4.88   981     0   101   1.21 00:06:40    
 26.9   6.0    0.0   67.1  0.56  55.8    6.4  5.42   605     0   101   1.21 00:06:50    
 45.1  14.5    0.0   40.3  1.16 116.4   11.3  4.22  1365     0   101   1.21 00:07:00    
%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 38.6  10.9    0.0   50.5  0.84  83.7    8.4  4.31   865     0   101   1.21 00:07:10    
 44.5  15.1    0.0   40.4  1.01 101.1   11.1  5.37   897     0   101   1.21 00:07:20    
 39.5   7.7    0.0   52.8  0.79  79.5    7.7  4.42   621     0   101   1.21 00:07:30    
 40.2  15.2    0.0   44.6  0.93  92.7   10.4  4.85   859     0   101   1.21 00:07:40    
 44.1   7.7    0.0   48.2  0.88  87.8    8.1  5.02   589     0   101   1.21 00:07:50    
 39.6  14.9    0.0   45.4  0.91  90.5   10.0  6.11   940     0   101   1.21 00:08:00    
 47.3  12.3    0.0   40.5  1.14 113.5   11.0  3.54  1110     0   101   1.21 00:08:10    
 27.5  11.9    0.0   60.7  0.67  66.9    7.9  5.23   674     0   101   1.21 00:08:20    
 49.0  10.4    0.0   40.6  1.09 108.8    9.6  3.97   687     0   101   1.21 00:08:30    
 26.3  11.5    0.0   62.2  0.64  64.3    8.0  6.25   773     0   101   1.21 00:08:40    
 48.5  10.7    0.0   40.8  1.12 112.0    9.9  5.00  1105     0   101   1.21 00:08:50    
 28.9  11.0    0.0   60.1  0.67  67.1    7.8  5.83   673     0   101   1.21 00:09:00    
 47.8  11.7    0.0   40.5  1.09 109.0   10.1  3.03   868     0   101   1.21 00:09:10    
 28.7   9.9    0.0   61.4  0.66  65.7    7.0  5.01   681     0   101   1.21 00:09:20    
 47.8  11.6    0.0   40.6  1.09 109.0   10.3  4.50   849     0   101   1.21 00:09:30    
 27.4   9.7    0.0   62.9  0.63  63.0    7.2  4.89   557     0   101   1.21 00:09:40    
 48.1  11.0    0.0   40.9  1.07 107.0   10.2  4.74   766     0   101   1.21 00:09:50    
 28.6   9.0    0.0   62.4  0.64  63.6    6.9  4.85   475     0   101   1.21 00:10:00    
 51.6  27.4    0.0   21.0  1.87 186.9   47.3  1.63  4507     0   101   1.21 00:10:10    
 49.2  10.1    0.0   40.7  1.02 101.9    9.0  5.06   971     0   101   1.21 00:10:20    
 26.5  10.7    0.0   62.8  0.63  62.8    6.6  4.44   702     0   101   1.21 00:10:30    
%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 48.8  11.5    0.0   39.6  1.17 116.7   11.2  4.69   694     0   101   1.21 00:10:40    
 24.2   9.8    0.0   66.0  0.58  58.4    6.7  5.13   651     0   101   1.21 00:10:50    
 48.7  11.2    0.0   40.0  1.09 108.7   10.7  4.73   766     0   101   1.21 00:11:00    
 30.8  12.4    0.0   56.8  0.72  72.4    7.8  3.71   712     0   101   1.21 00:11:10    
 48.4  11.1    0.0   40.5  1.10 109.7   11.0  4.68   743     0   101   1.21 00:11:20    
 29.0   9.3    0.0   61.8  0.65  65.3    6.7  5.45   504     0   101   1.21 00:11:30    
 47.2  12.1    0.0   40.8  1.08 107.9   10.6  3.68   770     0   101   1.21 00:11:40    
 29.1   9.1    0.0   61.8  0.64  63.8    7.3  5.01   711     0   101   1.21 00:11:50    
 46.2  13.6    0.0   40.2  1.12 112.1   10.4  4.80   988     0   101   1.21 00:12:00    
 39.6  13.0    0.0   47.4  0.89  89.0    8.9  3.66   864     0   101   1.21 00:12:10    
 45.7  13.5    0.0   40.7  1.02 102.4   10.0  5.84   826     0   101   1.21 00:12:20    
 35.0   8.0    0.0   57.0  0.73  73.1    7.5  4.34   536     0   101   1.21 00:12:30    
 44.4  14.3    0.0   41.3  0.99  98.8    9.5  5.69   777     0   101   1.21 00:12:40    
 43.4  10.5    0.0   46.1  0.92  91.5    8.1  5.32   751     0   101   1.21 00:12:50    
 41.4  15.1    0.0   43.5  0.95  95.0   10.6  4.88   910     0   101   1.21 00:13:00    
 46.9  12.5    0.0   40.6  1.08 107.9   10.4  3.02   959     0   101   1.21 00:13:10    
 26.9  11.5    0.0   61.6  0.65  65.0    7.6  4.51   783     0   101   1.21 00:13:20    
 48.8  10.8    0.0   40.4  1.08 108.1   10.2  4.27   713     0   101   1.21 00:13:30    
 27.8  12.0    0.0   60.2  0.67  66.6    7.6  6.24   754     0   101   1.21 00:13:40    
 48.9  10.0    0.0   41.0  1.06 106.3    9.5  5.65   869     0   101   1.21 00:13:50    
 34.6  14.4    0.0   51.0  0.83  82.9    8.4  5.37   820     0   101   1.21 00:14:00    
%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 47.6  12.3    0.0   40.0  1.12 112.4   11.7  3.97  1052     0   101   1.21 00:14:10    
 28.5  10.3    0.0   61.1  0.66  66.1    7.1  5.42   717     0   101   1.21 00:14:20    
 48.2  10.9    0.0   40.9  1.05 104.9   10.2  4.49   684     0   101   1.21 00:14:30    
 33.2  11.0    0.0   55.8  0.74  73.9    8.6  5.67   782     0   101   1.21 00:14:40    
 45.7  13.1    0.0   41.1  1.07 107.4    9.9  4.75   942     0   101   1.21 00:14:50    
 35.4  10.1    0.0   54.5  0.77  76.6    8.2  5.68   877     0   101   1.21 00:15:00    
 46.0  35.7    0.0   18.3  1.72 172.2   43.2  1.34  5063     0   101   1.21 00:15:10    
 47.0  13.9    0.0   39.1  1.22 121.6   12.8  3.01  1511     0   101   1.21 00:15:20    
 24.2   9.1    0.0   66.6  0.57  57.3    5.8  3.53   683     0   101   1.21 00:15:30    
 47.2  12.0    0.0   40.8  1.07 107.4   10.1  4.73   831     0   101   1.21 00:15:40    
 26.9   9.4    0.0   63.6  0.62  61.6    6.6  4.66   580     0   101   1.21 00:15:50    
 47.7  11.7    0.0   40.6  1.10 110.2   10.8  4.45   938     0   101   1.21 00:16:00    
 28.6   9.5    0.0   61.9  0.64  64.3    6.7  4.33   710     0   101   1.21 00:16:10    
 45.6  14.5    0.0   39.9  1.17 117.2   13.0  3.06  1364     0   101   1.21 00:16:20    
 27.2   5.4    0.0   67.5  0.56  55.7    6.1  4.44   581     0   101   1.21 00:16:30    
 40.6  21.2    0.2   38.0  1.54 153.6   15.8  3.08  1925     0   101   1.21 00:16:40    
 37.3   7.0    0.0   55.7  0.75  75.5    7.8  5.36   634     0   101   1.21 00:16:50    
 43.8  15.8    0.0   40.4  1.02 101.9   10.0  4.23   942     0   101   1.21 00:17:00    
 47.8  11.6    0.0   40.7  1.00  99.9    9.6  3.99   736     0   101   1.21 00:17:10    
 35.3  12.8    0.0   51.9  0.81  81.4    8.8  5.67   914     0   101   1.21 00:17:20    
 49.5   9.3    0.1   41.2  0.99  99.2    9.1  4.67   607     0   101   1.21 00:17:30    
%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 27.3  11.5    0.0   61.2  0.65  65.2    7.4  6.39   607     0   101   1.21 00:17:40    
 49.7   9.5    0.0   40.8  1.08 108.2   10.4  4.75   636     0   101   1.21 00:17:50    
 28.0  14.4    0.0   57.7  0.71  70.9    8.9  5.53  1263     0   101   1.21 00:18:00    
 46.6  13.0    0.0   40.4  1.10 110.0   11.1  2.18   985     0   101   1.21 00:18:10    
 28.0  10.7    0.0   61.3  0.66  65.8    7.5  4.21   741     0   101   1.21 00:18:20    
 48.4  10.5    0.0   41.0  1.08 107.8   10.1  4.60   636     0   101   1.21 00:18:30    
 30.8  11.7    0.0   57.5  0.71  71.2    7.1  4.98   670     0   101   1.21 00:18:40    
 47.5  12.0    0.0   40.5  1.12 111.7   11.2  5.54  1213     0   101   1.21 00:18:50    
 28.4   7.5    0.0   64.2  0.60  60.3    7.1  4.71   786     0   101   1.21 00:19:00    
 40.7  18.6    0.0   40.7  1.20 120.1   11.9  2.72  1647     0   101   1.21 00:19:10    
 36.5   8.1    0.0   55.4  0.76  76.1    7.5  4.53   739     0   101   1.21 00:19:20    
 43.3  14.0    0.0   42.7  0.97  96.8    9.1  4.28   765     0   101   1.21 00:19:30    
 41.4   9.2    0.0   49.4  0.85  85.4    8.5  5.59   817     0   101   1.21 00:19:40    
 37.0  11.7    0.0   51.3  0.82  82.5    7.9  5.19   610     0   101   1.21 00:19:50    
 49.3  10.4    0.0   40.3  1.01 100.7   10.2  5.22   718     0   101   1.21 00:20:00    
 49.5  31.9    0.0   18.5  1.77 176.7   45.5  1.22  4724     0   101   1.21 00:20:10    
 48.2  11.3    0.0   40.5  1.10 110.2   10.4  4.40  1047     0   101   1.21 00:20:20    
 29.9  10.9    0.0   59.2  0.70  69.7    6.8  3.66   627     0   101   1.21 00:20:30    
 47.4  11.9    0.0   40.7  1.09 108.8   10.6  4.67   727     0   101   1.21 00:20:40    
 32.3   9.9    0.0   57.8  0.72  71.8    7.4  4.78   748     0   101   1.21 00:20:50    
 47.4  12.4    0.0   40.3  1.13 113.2   11.7  4.51   886     0   101   1.21 00:21:00    
%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 38.4  17.6    0.0   43.9  0.95  94.5    9.8  3.85  1454     0   101   1.21 00:21:10    
 44.4  14.7    0.0   40.9  1.10 109.8   10.7  5.05  1176     0   101   1.21 00:21:20    
 35.1   8.3    0.0   56.6  0.74  73.7    7.7  5.50   714     0   101   1.21 00:21:30    
 44.2  14.7    0.0   41.1  1.02 101.6    9.0  4.93   833     0   101   1.21 00:21:40    
 41.0   8.9    0.0   50.1  0.85  84.7    8.1  6.57   571     0   101   1.21 00:21:50    
 44.4  15.6    0.0   40.0  1.01 101.0    9.9  5.83   976     0   101   1.21 00:22:00    
 47.2  13.1    0.0   39.7  1.04 103.8   10.7  5.62   980     0   101   1.21 00:22:10    
 36.5  12.4    0.0   51.1  0.83  83.4    7.8  6.46   729     0   101   1.21 00:22:20    
 44.6   8.0    0.0   47.4  0.89  89.1    8.7  5.94   531     0   101   1.21 00:22:30    
 32.7  13.6    0.0   53.7  0.77  77.2    8.2  6.24   675     0   101   1.21 00:22:40    
 50.3   9.0    0.0   40.8  1.01 100.8    9.7  5.60   635     0   101   1.21 00:22:50    
 29.9  13.6    0.0   56.5  0.74  73.6    7.9  6.32   850     0   101   1.21 00:23:00    
 47.3  13.0    0.0   39.7  1.12 111.5   11.4  4.24  1210     0   101   1.21 00:23:10    
 28.6  11.7    0.0   59.7  0.68  67.8    7.2  5.05   693     0   101   1.21 00:23:20    
 49.0  10.1    0.0   40.9  1.09 108.9    9.9  5.27   526     0   101   1.21 00:23:30    
 26.6  10.9    0.0   62.5  0.63  63.4    6.9  5.90   656     0   101   1.21 00:23:40    
 48.7  10.7    0.0   40.6  1.07 107.1   10.8  5.42  1064     0   101   1.21 00:23:50    
 31.6  12.1    0.0   56.3  0.73  72.7    8.0  4.47   684     0   101   1.21 00:24:00    
 46.0  13.2    0.0   40.9  1.11 110.7   10.7  2.85   839     0   101   1.21 00:24:10    
 31.2   9.5    0.0   59.3  0.67  67.4    7.8  4.47   861     0   101   1.21 00:24:20    
 46.0  12.9    0.0   41.1  1.07 106.8    9.5  4.78   800     0   101   1.21 00:24:30    
%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 34.6   9.9    0.0   55.4  0.75  74.9    8.1  5.41   870     0   101   1.21 00:24:40    
 45.8  13.2    0.0   41.0  1.00 100.2    9.1  4.18   586     0   101   1.21 00:24:50    
